ds,sortby,pushed,language,repo_count,repo_data_count
2022-01-20,stars,004_1month,ada,30,30
2022-01-20,stars,004_1month,coq,25,25
2022-01-20,stars,004_1month,sml,12,12
2022-01-20,stars,004_1month,agda,10,10
2022-01-20,stars,004_1month,lean,8,8
2022-01-20,stars,004_1month,idris,6,6
2022-01-20,stars,004_1month,isabelle,3,3
2022-01-20,stars,004_1month,tla,3,3
2022-01-20,stars,013_3month,ada,54,54
2022-01-20,stars,013_3month,coq,53,53
2022-01-20,stars,013_3month,sml,33,33
2022-01-20,stars,013_3month,agda,20,20
2022-01-20,stars,013_3month,idris,15,15
2022-01-20,stars,013_3month,lean,15,15
2022-01-20,stars,013_3month,isabelle,12,12
2022-01-20,stars,013_3month,tla,7,7
2022-01-20,stars,026_6month,coq,79,79
2022-01-20,stars,026_6month,ada,75,75
2022-01-20,stars,026_6month,sml,55,55
2022-01-20,stars,026_6month,agda,31,31
2022-01-20,stars,026_6month,lean,25,25
2022-01-20,stars,026_6month,isabelle,21,21
2022-01-20,stars,026_6month,idris,19,19
2022-01-20,stars,026_6month,tla,11,11
2022-01-20,stars,052_1year,ada,131,131
2022-01-20,stars,052_1year,coq,118,118
2022-01-20,stars,052_1year,sml,116,116
2022-01-20,stars,052_1year,agda,44,44
2022-01-20,stars,052_1year,lean,39,39
2022-01-20,stars,052_1year,isabelle,37,37
2022-01-20,stars,052_1year,idris,30,30
2022-01-20,stars,052_1year,tla,21,21
2022-01-20,stars,156_3year,coq,320,320
2022-01-20,stars,156_3year,ada,255,255
2022-01-20,stars,156_3year,sml,237,237
2022-01-20,stars,156_3year,agda,106,106
2022-01-20,stars,156_3year,lean,69,69
2022-01-20,stars,156_3year,isabelle,63,63
2022-01-20,stars,156_3year,idris,62,62
2022-01-20,stars,156_3year,tla,47,47
2022-01-20,stars,alltime,coq,508,508
2022-01-20,stars,alltime,ada,444,444
2022-01-20,stars,alltime,sml,425,425
2022-01-20,stars,alltime,agda,195,195
2022-01-20,stars,alltime,idris,141,141
2022-01-20,stars,alltime,isabelle,97,97
2022-01-20,stars,alltime,lean,76,76
2022-01-20,stars,alltime,tla,64,64
