ds,language,topic,repo_count
2022-01-01,ada,ada,43
2022-01-01,ada,spark,6
2022-01-01,ada,linux,5
2022-01-01,ada,game,4
2022-01-01,ada,arm,3
2022-01-01,ada,osx,3
2022-01-01,ada,stm32,3
2022-01-01,ada,windows,3
2022-01-01,ada,ada95,2
2022-01-01,ada,computer-aided-design,2
2022-01-01,ada,concurrent-programming,2
2022-01-01,ada,embedded,2
2022-01-01,ada,embedded-systems,2
2022-01-01,ada,library,2
2022-01-01,ada,markdown,2
2022-01-01,ada,midi,2
2022-01-01,ada,postgresql,2
2022-01-01,ada,puzzle,2
2022-01-01,ada,real-time,2
2022-01-01,ada,rendezvous,2
2022-01-01,ada,security,2
2022-01-01,ada,sokoban,2
2022-01-01,ada,spark-ada,2
2022-01-01,ada,web,2
2022-01-01,agda,agda,15
2022-01-01,agda,type-theory,3
2022-01-01,agda,homotopy-type-theory,2
2022-01-01,agda,lambda-calculus,2
2022-01-01,agda,proof,2
2022-01-01,agda,proof-assistant,2
2022-01-01,coq,coq,77
2022-01-01,coq,formal-verification,14
2022-01-01,coq,mathcomp,14
2022-01-01,coq,ssreflect,13
2022-01-01,coq,coq-formalization,11
2022-01-01,coq,proof,7
2022-01-01,coq,coq-library,5
2022-01-01,coq,lambda-calculus,5
2022-01-01,coq,verification,5
2022-01-01,coq,coq-extraction,4
2022-01-01,coq,distributed-systems,4
2022-01-01,coq,docker-coq-action,4
2022-01-01,coq,formalization,4
2022-01-01,coq,functional-programming,4
2022-01-01,coq,mathematics,4
2022-01-01,coq,ocaml,4
2022-01-01,coq,proof-assistant,4
2022-01-01,coq,separation-logic,4
2022-01-01,coq,verilog,4
2022-01-01,coq,category-theory,3
2022-01-01,coq,formal-proofs,3
2022-01-01,coq,math,3
2022-01-01,coq,math-comp,3
2022-01-01,coq,monad,3
2022-01-01,coq,paper-artifacts,3
2022-01-01,coq,sorting-algorithms,3
2022-01-01,coq,theorem-proving,3
2022-01-01,coq,type-theory,3
2022-01-01,coq,algorithms,2
2022-01-01,coq,c,2
2022-01-01,coq,categories,2
2022-01-01,coq,coinduction,2
2022-01-01,coq,compcert,2
2022-01-01,coq,concurrency,2
2022-01-01,coq,coq-tactic,2
2022-01-01,coq,deadlock-detection,2
2022-01-01,coq,dependent-types,2
2022-01-01,coq,finite-sets,2
2022-01-01,coq,formal-methods,2
2022-01-01,coq,fpga,2
2022-01-01,coq,functor,2
2022-01-01,coq,hardware,2
2022-01-01,coq,hardware-verification,2
2022-01-01,coq,javascript,2
2022-01-01,coq,logic,2
2022-01-01,coq,nix-action,2
2022-01-01,coq,proofs,2
2022-01-01,coq,rtl,2
2022-01-01,coq,semantics,2
2022-01-01,coq,simply-typed-lambda-calculus,2
2022-01-01,coq,simulation,2
2022-01-01,coq,topology,2
2022-01-01,coq,typeclasses,2
2022-01-01,idris,idris,10
2022-01-01,idris,coproduct,2
2022-01-01,isabelle,isabelle,7
2022-01-01,isabelle,isabelle-hol,7
2022-01-01,isabelle,verification,3
2022-01-01,isabelle,formal-verification,2
2022-01-01,isabelle,protocol-verification,2
2022-01-01,isabelle,security-protocols,2
2022-01-01,lean,lean,5
2022-01-01,lean,lean4,3
2022-01-01,lean,theorem-proving,2
2022-01-01,tla,tlaplus,15
2022-01-01,tla,tla,11
2022-01-01,tla,pluscal,7
2022-01-01,tla,tla-specification,4
2022-01-01,tla,distributed-systems,3
2022-01-01,tla,formal-verification,3
2022-01-01,tla,model-checking,3
2022-01-01,tla,consensus-protocol,2
2022-01-01,tla,distributed,2
2022-01-01,tla,formal-specification,2
2022-01-01,tla,temporal-logic,2
2022-01-01,tla,tlaplus-lamport,2
