ds,sortby,pushed,language,repo_count,repo_data_count
2022-08-04,stars,001_1week,go,2255,1000
2022-08-04,stars,001_1week,rust,1351,1000
2022-08-04,stars,001_1week,elixir,158,158
2022-08-04,stars,001_1week,haskell,110,110
2022-08-04,stars,001_1week,ocaml,44,44
2022-08-04,stars,001_1week,ada,23,23
2022-08-04,stars,001_1week,erlang,18,18
2022-08-04,stars,001_1week,coq,9,9
2022-08-04,stars,001_1week,sml,6,6
2022-08-04,stars,001_1week,isabelle,4,4
2022-08-04,stars,001_1week,agda,2,2
2022-08-04,stars,001_1week,idris,2,2
2022-08-04,stars,001_1week,lean,2,2
2022-08-04,stars,001_1week,tla,2,2
