ds,sortby,pushed,language,repo_count,repo_data_count
2023-01-26,stars,004_1month,coq,27,27
2023-01-26,stars,004_1month,ada,21,21
2023-01-26,stars,004_1month,lean,18,18
2023-01-26,stars,004_1month,sml,13,13
2023-01-26,stars,004_1month,idris,6,6
2023-01-26,stars,004_1month,agda,4,4
2023-01-26,stars,004_1month,isabelle,4,4
2023-01-26,stars,004_1month,tla,2,2
2023-01-26,stars,013_3month,coq,53,53
2023-01-26,stars,013_3month,ada,46,46
2023-01-26,stars,013_3month,lean,29,29
2023-01-26,stars,013_3month,sml,26,26
2023-01-26,stars,013_3month,agda,16,16
2023-01-26,stars,013_3month,isabelle,13,13
2023-01-26,stars,013_3month,idris,11,11
2023-01-26,stars,013_3month,tla,7,7
2023-01-26,stars,026_6month,coq,85,85
2023-01-26,stars,026_6month,ada,78,78
2023-01-26,stars,026_6month,sml,52,52
2023-01-26,stars,026_6month,lean,41,41
2023-01-26,stars,026_6month,agda,34,34
2023-01-26,stars,026_6month,isabelle,20,20
2023-01-26,stars,026_6month,idris,19,19
2023-01-26,stars,026_6month,tla,12,12
2023-01-26,stars,052_1year,coq,124,124
2023-01-26,stars,052_1year,ada,122,122
2023-01-26,stars,052_1year,sml,92,92
2023-01-26,stars,052_1year,lean,59,59
2023-01-26,stars,052_1year,agda,53,53
2023-01-26,stars,052_1year,isabelle,32,32
2023-01-26,stars,052_1year,idris,30,30
2023-01-26,stars,052_1year,tla,24,24
2023-01-26,stars,156_3year,coq,292,292
2023-01-26,stars,156_3year,ada,255,255
2023-01-26,stars,156_3year,sml,234,234
2023-01-26,stars,156_3year,agda,113,113
2023-01-26,stars,156_3year,lean,111,111
2023-01-26,stars,156_3year,isabelle,62,62
2023-01-26,stars,156_3year,idris,56,56
2023-01-26,stars,156_3year,tla,51,51
2023-01-26,stars,alltime,coq,560,560
2023-01-26,stars,alltime,ada,505,505
2023-01-26,stars,alltime,sml,478,478
2023-01-26,stars,alltime,agda,228,228
2023-01-26,stars,alltime,idris,156,156
2023-01-26,stars,alltime,lean,126,126
2023-01-26,stars,alltime,isabelle,108,108
2023-01-26,stars,alltime,tla,80,80
