ds,created,language,user_count
2022-08-04,004_1month,python,319
2022-08-04,004_1month,java,143
2022-08-04,004_1month,c++,105
2022-08-04,004_1month,c,33
2022-08-04,004_1month,go,26
2022-08-04,004_1month,rust,18
2022-08-04,004_1month,r,13
2022-08-04,004_1month,terraform,4
2022-08-04,004_1month,assembly,2
2022-08-04,004_1month,elixir,1
2022-08-04,004_1month,haskell,1
2022-08-04,004_1month,fortran,1
2022-08-04,004_1month,scala,1
2022-08-04,004_1month,verilog,1
2022-08-04,004_1month,ada,0
2022-08-04,004_1month,agda,0
2022-08-04,004_1month,coq,0
2022-08-04,004_1month,idris,0
2022-08-04,004_1month,isabelle,0
2022-08-04,004_1month,lean,0
2022-08-04,004_1month,sml,0
2022-08-04,004_1month,tla,0
2022-08-04,004_1month,erlang,0
2022-08-04,004_1month,ocaml,0
2022-08-04,013_3month,python,1608
2022-08-04,013_3month,java,673
2022-08-04,013_3month,c++,388
2022-08-04,013_3month,c,213
2022-08-04,013_3month,go,121
2022-08-04,013_3month,r,89
2022-08-04,013_3month,rust,65
2022-08-04,013_3month,terraform,27
2022-08-04,013_3month,assembly,13
2022-08-04,013_3month,haskell,6
2022-08-04,013_3month,elixir,3
2022-08-04,013_3month,scala,3
2022-08-04,013_3month,verilog,3
2022-08-04,013_3month,fortran,1
2022-08-04,013_3month,ada,0
2022-08-04,013_3month,agda,0
2022-08-04,013_3month,coq,0
2022-08-04,013_3month,idris,0
2022-08-04,013_3month,isabelle,0
2022-08-04,013_3month,lean,0
2022-08-04,013_3month,sml,0
2022-08-04,013_3month,tla,0
2022-08-04,013_3month,erlang,0
2022-08-04,013_3month,ocaml,0
2022-08-04,052_1year,python,10707
2022-08-04,052_1year,java,4814
2022-08-04,052_1year,c++,2571
2022-08-04,052_1year,c,1645
2022-08-04,052_1year,r,725
2022-08-04,052_1year,go,691
2022-08-04,052_1year,rust,325
2022-08-04,052_1year,terraform,123
2022-08-04,052_1year,assembly,75
2022-08-04,052_1year,verilog,38
2022-08-04,052_1year,scala,33
2022-08-04,052_1year,erlang,27
2022-08-04,052_1year,haskell,26
2022-08-04,052_1year,fortran,26
2022-08-04,052_1year,elixir,25
2022-08-04,052_1year,lean,4
2022-08-04,052_1year,ocaml,4
2022-08-04,052_1year,coq,2
2022-08-04,052_1year,isabelle,1
2022-08-04,052_1year,sml,1
2022-08-04,052_1year,ada,0
2022-08-04,052_1year,agda,0
2022-08-04,052_1year,idris,0
2022-08-04,052_1year,tla,0
2022-08-04,261_5year,python,75028
2022-08-04,261_5year,java,46121
2022-08-04,261_5year,c++,23021
2022-08-04,261_5year,c,13684
2022-08-04,261_5year,r,8088
2022-08-04,261_5year,go,3505
2022-08-04,261_5year,rust,1075
2022-08-04,261_5year,assembly,653
2022-08-04,261_5year,terraform,601
2022-08-04,261_5year,scala,485
2022-08-04,261_5year,fortran,345
2022-08-04,261_5year,verilog,308
2022-08-04,261_5year,haskell,213
2022-08-04,261_5year,elixir,172
2022-08-04,261_5year,ocaml,84
2022-08-04,261_5year,erlang,67
2022-08-04,261_5year,coq,29
2022-08-04,261_5year,sml,28
2022-08-04,261_5year,ada,14
2022-08-04,261_5year,lean,11
2022-08-04,261_5year,agda,6
2022-08-04,261_5year,isabelle,3
2022-08-04,261_5year,idris,2
2022-08-04,261_5year,tla,2
2022-08-04,alltime,java,3701265
2022-08-04,alltime,python,3313513
2022-08-04,alltime,c++,1201285
2022-08-04,alltime,c,848298
2022-08-04,alltime,r,303487
2022-08-04,alltime,go,261787
2022-08-04,alltime,scala,52858
2022-08-04,alltime,rust,42380
2022-08-04,alltime,terraform,40187
2022-08-04,alltime,assembly,24710
2022-08-04,alltime,haskell,16253
2022-08-04,alltime,verilog,13721
2022-08-04,alltime,fortran,13674
2022-08-04,alltime,elixir,7936
2022-08-04,alltime,erlang,7633
2022-08-04,alltime,ocaml,5100
2022-08-04,alltime,sml,3266
2022-08-04,alltime,coq,1075
2022-08-04,alltime,ada,875
2022-08-04,alltime,lean,333
2022-08-04,alltime,agda,235
2022-08-04,alltime,isabelle,145
2022-08-04,alltime,idris,103
2022-08-04,alltime,tla,70
