ds,created,language,user_count
2022-06-02,004_1month,python,340
2022-06-02,004_1month,java,127
2022-06-02,004_1month,c++,66
2022-06-02,004_1month,c,63
2022-06-02,004_1month,go,28
2022-06-02,004_1month,r,20
2022-06-02,004_1month,rust,13
2022-06-02,004_1month,assembly,3
2022-06-02,004_1month,terraform,3
2022-06-02,004_1month,elixir,2
2022-06-02,004_1month,haskell,2
2022-06-02,004_1month,verilog,1
2022-06-02,004_1month,ada,0
2022-06-02,004_1month,agda,0
2022-06-02,004_1month,coq,0
2022-06-02,004_1month,idris,0
2022-06-02,004_1month,isabelle,0
2022-06-02,004_1month,lean,0
2022-06-02,004_1month,sml,0
2022-06-02,004_1month,tla,0
2022-06-02,004_1month,erlang,0
2022-06-02,004_1month,ocaml,0
2022-06-02,004_1month,fortran,0
2022-06-02,004_1month,scala,0
2022-06-02,013_3month,python,1585
2022-06-02,013_3month,java,747
2022-06-02,013_3month,c++,380
2022-06-02,013_3month,c,272
2022-06-02,013_3month,go,139
2022-06-02,013_3month,r,114
2022-06-02,013_3month,rust,58
2022-06-02,013_3month,terraform,16
2022-06-02,013_3month,assembly,10
2022-06-02,013_3month,verilog,9
2022-06-02,013_3month,elixir,8
2022-06-02,013_3month,scala,7
2022-06-02,013_3month,fortran,5
2022-06-02,013_3month,haskell,3
2022-06-02,013_3month,agda,1
2022-06-02,013_3month,lean,1
2022-06-02,013_3month,tla,1
2022-06-02,013_3month,ocaml,1
2022-06-02,013_3month,ada,0
2022-06-02,013_3month,coq,0
2022-06-02,013_3month,idris,0
2022-06-02,013_3month,isabelle,0
2022-06-02,013_3month,sml,0
2022-06-02,013_3month,erlang,0
2022-06-02,052_1year,python,10208
2022-06-02,052_1year,java,4656
2022-06-02,052_1year,c++,2489
2022-06-02,052_1year,c,1637
2022-06-02,052_1year,r,713
2022-06-02,052_1year,go,651
2022-06-02,052_1year,rust,293
2022-06-02,052_1year,terraform,110
2022-06-02,052_1year,assembly,73
2022-06-02,052_1year,verilog,35
2022-06-02,052_1year,elixir,31
2022-06-02,052_1year,fortran,27
2022-06-02,052_1year,scala,27
2022-06-02,052_1year,erlang,23
2022-06-02,052_1year,haskell,23
2022-06-02,052_1year,ocaml,6
2022-06-02,052_1year,lean,5
2022-06-02,052_1year,coq,3
2022-06-02,052_1year,sml,2
2022-06-02,052_1year,agda,1
2022-06-02,052_1year,isabelle,1
2022-06-02,052_1year,tla,1
2022-06-02,052_1year,ada,0
2022-06-02,052_1year,idris,0
2022-06-02,261_5year,python,73034
2022-06-02,261_5year,java,46094
2022-06-02,261_5year,c++,22741
2022-06-02,261_5year,c,13563
2022-06-02,261_5year,r,8120
2022-06-02,261_5year,go,3427
2022-06-02,261_5year,rust,996
2022-06-02,261_5year,assembly,650
2022-06-02,261_5year,terraform,557
2022-06-02,261_5year,scala,486
2022-06-02,261_5year,fortran,346
2022-06-02,261_5year,verilog,305
2022-06-02,261_5year,haskell,214
2022-06-02,261_5year,elixir,176
2022-06-02,261_5year,ocaml,84
2022-06-02,261_5year,erlang,66
2022-06-02,261_5year,coq,29
2022-06-02,261_5year,sml,28
2022-06-02,261_5year,ada,14
2022-06-02,261_5year,lean,10
2022-06-02,261_5year,agda,7
2022-06-02,261_5year,idris,3
2022-06-02,261_5year,isabelle,3
2022-06-02,261_5year,tla,2
2022-06-02,alltime,java,3621353
2022-06-02,alltime,python,3193950
2022-06-02,alltime,c++,1172378
2022-06-02,alltime,c,829313
2022-06-02,alltime,r,298798
2022-06-02,alltime,go,251872
2022-06-02,alltime,scala,52088
2022-06-02,alltime,rust,38508
2022-06-02,alltime,terraform,36938
2022-06-02,alltime,assembly,24159
2022-06-02,alltime,haskell,16043
2022-06-02,alltime,fortran,13364
2022-06-02,alltime,verilog,13233
2022-06-02,alltime,elixir,7759
2022-06-02,alltime,erlang,7546
2022-06-02,alltime,ocaml,5031
2022-06-02,alltime,sml,3246
2022-06-02,alltime,coq,1049
2022-06-02,alltime,ada,867
2022-06-02,alltime,lean,324
2022-06-02,alltime,agda,235
2022-06-02,alltime,isabelle,144
2022-06-02,alltime,idris,100
2022-06-02,alltime,tla,69
