ds,sortby,pushed,language,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-12-22,stars,004_1month,ada,30,23.0,29.0,30.0,21.0,30.0,4.0,0.0,208484.0,617427.0,20580.9,46865.93629621294,18.700000000000003,647.0,5500.0,11271.75,37274.900000000125,6.0,2900.0,1198.5333333333333,1052.4616377096957,12.9,279.0,1009.0,2137.0,2666.5000000000005,1.0,26.0,9.833333333333334,8.749712638959512,1.0,1.0,8.0,13.75,24.200000000000003,0.0,300.0,1215.0,40.5,76.36425865547312,0.0,0.0,5.5,33.0,179.00000000000003,0.0,134.0,317.0,10.566666666666666,26.82212588110065,0.0,0.0,1.0,5.75,33.60000000000002,0.0,232.0,580.0,19.333333333333332,55.98727277376243,0.0,0.0,0.0,4.75,32.90000000000004,0.0,11.0,2.1333333333333333,3.2666901242413697,0.0,0.0,0.0,5.75,7.0
2022-12-22,stars,004_1month,agda,10,5.0,10.0,10.0,9.0,10.0,0.0,4.0,10733.0,13406.0,1340.6,3346.199774868998,10.3,19.0,33.5,523.5,2658.199999999997,7.0,2359.0,707.2,887.7092617142921,10.6,17.75,155.5,1286.5,1838.7999999999997,1.0,25.0,10.8,7.4803446147591055,1.9,5.5,10.5,14.75,18.699999999999996,0.0,142.0,204.0,20.4,44.22467888207016,0.0,0.25,3.5,8.5,48.39999999999996,0.0,19.0,20.0,2.0,5.981452814975453,0.0,0.0,0.0,0.0,2.7999999999999936,0.0,8.0,8.0,0.8,2.5298221281347035,0.0,0.0,0.0,0.0,0.7999999999999972,0.0,11.0,1.1,3.4785054261852175,0.0,0.0,0.0,0.0,1.099999999999996
2022-12-22,stars,004_1month,coq,29,19.0,29.0,29.0,28.0,28.0,3.0,29.0,49660.0,187325.0,6459.482758620689,10572.618602586757,111.80000000000001,364.0,2331.0,7325.0,18486.199999999997,2.0,3093.0,1092.103448275862,921.0044340217286,36.2,116.0,1089.0,1668.0,2283.3999999999996,1.0,27.0,9.517241379310345,7.794781631941666,1.8000000000000003,3.0,7.0,13.0,21.4,0.0,672.0,1843.0,63.55172413793103,129.23582713310702,0.0,0.0,21.0,66.0,140.39999999999998,0.0,57.0,303.0,10.448275862068966,15.150639323843148,0.0,0.0,5.0,14.0,31.599999999999994,0.0,59.0,219.0,7.551724137931035,13.642334862207818,0.0,0.0,1.0,10.0,19.799999999999997,0.0,13.0,3.0344827586206895,3.53030511247854,0.0,0.0,3.0,5.0,8.0
2022-12-22,stars,004_1month,idris,5,4.0,4.0,5.0,4.0,4.0,0.0,9.0,2992.0,3424.0,684.8,1292.9457451880955,21.8,41.0,142.0,240.0,1891.2000000000003,3.0,788.0,288.4,301.64266939542887,49.400000000000006,119.0,226.0,306.0,595.2,0.0,22.0,7.2,8.5848704125339,1.2000000000000002,3.0,5.0,6.0,15.600000000000001,0.0,80.0,153.0,30.6,40.703808175648625,0.0,0.0,3.0,70.0,76.0,0.0,14.0,27.0,5.4,7.402702209328699,0.0,0.0,0.0,13.0,13.6,0.0,5.0,8.0,1.6,2.3021728866442674,0.0,0.0,0.0,3.0,4.2,0.0,3.0,0.6,1.3416407864998738,0.0,0.0,0.0,0.0,1.8000000000000003
2022-12-22,stars,004_1month,isabelle,5,1.0,5.0,5.0,4.0,4.0,1.0,183.0,242036.0,324868.0,64973.6,103538.51180744293,1961.4,4629.0,4788.0,73232.0,174514.40000000002,41.0,3080.0,1248.6,1134.4674080818718,318.6,735.0,1012.0,1375.0,2398.0,0.0,17.0,8.0,7.176350047203662,0.8,2.0,8.0,13.0,15.4,0.0,443.0,456.0,91.2,196.70460086129148,0.0,0.0,3.0,10.0,269.80000000000007,0.0,90.0,92.0,18.4,40.02873967538823,0.0,0.0,1.0,1.0,54.400000000000006,0.0,21.0,21.0,4.2,9.391485505499118,0.0,0.0,0.0,0.0,12.600000000000001,0.0,5.0,1.0,2.2360679774997894,0.0,0.0,0.0,0.0,3.0000000000000004
2022-12-22,stars,004_1month,lean,16,6.0,16.0,16.0,16.0,16.0,2.0,6.0,1091722.0,1096431.0,68526.9375,272852.48096006474,11.0,44.5,93.5,484.75,1391.0,18.0,2088.0,475.375,642.3934282561323,22.0,32.5,68.0,673.25,1328.5,0.0,25.0,8.625,8.163945124754331,0.5,1.75,7.0,12.5,20.5,0.0,1957.0,2093.0,130.8125,487.27421694565373,0.0,0.0,2.0,10.25,48.0,0.0,184.0,207.0,12.9375,45.7827751452443,0.0,0.0,0.0,1.0,10.5,0.0,192.0,215.0,13.4375,47.82603022065146,0.0,0.0,0.0,1.0,10.5,0.0,3.0,0.375,0.8850612031567836,0.0,0.0,0.0,0.0,1.5
2022-12-22,stars,004_1month,sml,17,7.0,17.0,17.0,16.0,15.0,1.0,6.0,232674.0,495060.0,29121.176470588234,58553.558441433874,83.4,469.0,1436.0,42420.0,74139.0,6.0,4931.0,1529.6470588235295,1585.6935762142252,31.6,365.0,737.0,2490.0,3813.6000000000004,1.0,23.0,12.529411764705882,7.072107598329719,4.0,7.0,14.0,17.0,21.8,0.0,1521.0,2039.0,119.94117647058823,366.3385508290513,0.0,1.0,5.0,27.0,179.00000000000003,0.0,429.0,509.0,29.941176470588236,103.05548905094486,0.0,0.0,2.0,8.0,19.6,0.0,177.0,317.0,18.647058823529413,45.08871973186668,0.0,0.0,0.0,9.0,53.40000000000001,0.0,16.0,2.6470588235294117,5.073721223995612,0.0,0.0,0.0,3.0,10.600000000000001
2022-12-22,stars,004_1month,tla,3,1.0,3.0,3.0,3.0,3.0,0.0,18.0,146.0,184.0,61.333333333333336,73.33030296769087,18.4,19.0,20.0,83.0,120.80000000000001,24.0,43.0,30.666666666666668,10.692676621563628,24.2,24.5,25.0,34.0,39.4,0.0,20.0,10.0,10.0,2.0,5.0,10.0,15.0,18.0,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,0.8,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.3333333333333335,4.041451884327381,0.0,0.0,0.0,3.5,5.6000000000000005
2022-12-22,stars,013_3month,ada,51,38.0,50.0,51.0,41.0,50.0,5.0,0.0,208484.0,744998.0,14607.803921568628,37655.5311220116,7.0,68.0,2787.0,8333.0,27174.0,6.0,4297.0,1049.235294117647,1125.7152319878292,24.0,76.0,484.0,2015.0,2641.0,1.0,90.0,29.372549019607842,28.440788163701605,1.0,7.0,22.0,50.5,76.0,0.0,300.0,1354.0,26.54901960784314,61.32155044533372,0.0,0.0,2.0,17.0,58.0,0.0,134.0,340.0,6.666666666666667,21.04629817014542,0.0,0.0,0.0,2.5,10.0,0.0,232.0,594.0,11.647058823529411,43.64943231219017,0.0,0.0,0.0,1.0,13.0,0.0,13.0,2.0392156862745097,3.3820750098939287,0.0,0.0,0.0,4.5,7.0
2022-12-22,stars,013_3month,agda,21,5.0,19.0,21.0,19.0,19.0,0.0,4.0,99895.0,117748.0,5607.047619047619,21728.755614337857,11.0,19.0,89.0,1132.0,1761.0,7.0,2359.0,464.1904761904762,676.2573932348259,16.0,57.0,105.0,548.0,1291.0,1.0,87.0,36.80952380952381,29.360890735158303,5.0,11.0,30.0,56.0,82.0,0.0,142.0,218.0,10.380952380952381,31.276950283677262,0.0,0.0,1.0,4.0,9.0,0.0,19.0,29.0,1.380952380952381,4.318288902750608,0.0,0.0,0.0,0.0,1.0,0.0,8.0,11.0,0.5238095238095238,1.7781745588959377,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.5238095238095238,2.400396792595916,0.0,0.0,0.0,0.0,0.0
