ds,created,language,user_count
2022-10-13,004_1month,python,370
2022-10-13,004_1month,java,177
2022-10-13,004_1month,c++,99
2022-10-13,004_1month,c,71
2022-10-13,004_1month,go,20
2022-10-13,004_1month,r,18
2022-10-13,004_1month,rust,11
2022-10-13,004_1month,assembly,6
2022-10-13,004_1month,haskell,3
2022-10-13,004_1month,terraform,3
2022-10-13,004_1month,elixir,1
2022-10-13,004_1month,fortran,1
2022-10-13,004_1month,ada,0
2022-10-13,004_1month,agda,0
2022-10-13,004_1month,coq,0
2022-10-13,004_1month,idris,0
2022-10-13,004_1month,isabelle,0
2022-10-13,004_1month,lean,0
2022-10-13,004_1month,sml,0
2022-10-13,004_1month,tla,0
2022-10-13,004_1month,erlang,0
2022-10-13,004_1month,ocaml,0
2022-10-13,004_1month,scala,0
2022-10-13,004_1month,verilog,0
2022-10-13,013_3month,python,1706
2022-10-13,013_3month,java,844
2022-10-13,013_3month,c++,455
2022-10-13,013_3month,c,268
2022-10-13,013_3month,go,117
2022-10-13,013_3month,r,95
2022-10-13,013_3month,rust,57
2022-10-13,013_3month,terraform,21
2022-10-13,013_3month,assembly,11
2022-10-13,013_3month,verilog,7
2022-10-13,013_3month,haskell,6
2022-10-13,013_3month,elixir,4
2022-10-13,013_3month,fortran,4
2022-10-13,013_3month,scala,2
2022-10-13,013_3month,ada,0
2022-10-13,013_3month,agda,0
2022-10-13,013_3month,coq,0
2022-10-13,013_3month,idris,0
2022-10-13,013_3month,isabelle,0
2022-10-13,013_3month,lean,0
2022-10-13,013_3month,sml,0
2022-10-13,013_3month,tla,0
2022-10-13,013_3month,erlang,0
2022-10-13,013_3month,ocaml,0
2022-10-13,052_1year,python,10729
2022-10-13,052_1year,java,4960
2022-10-13,052_1year,c++,2538
2022-10-13,052_1year,c,1677
2022-10-13,052_1year,r,730
2022-10-13,052_1year,go,725
2022-10-13,052_1year,rust,324
2022-10-13,052_1year,terraform,125
2022-10-13,052_1year,assembly,70
2022-10-13,052_1year,verilog,41
2022-10-13,052_1year,haskell,30
2022-10-13,052_1year,scala,30
2022-10-13,052_1year,fortran,23
2022-10-13,052_1year,elixir,21
2022-10-13,052_1year,erlang,21
2022-10-13,052_1year,ocaml,4
2022-10-13,052_1year,coq,3
2022-10-13,052_1year,lean,2
2022-10-13,052_1year,ada,1
2022-10-13,052_1year,isabelle,1
2022-10-13,052_1year,agda,0
2022-10-13,052_1year,idris,0
2022-10-13,052_1year,sml,0
2022-10-13,052_1year,tla,0
2022-10-13,261_5year,python,77171
2022-10-13,261_5year,java,45833
2022-10-13,261_5year,c++,23171
2022-10-13,261_5year,c,13845
2022-10-13,261_5year,r,8006
2022-10-13,261_5year,go,3630
2022-10-13,261_5year,rust,1155
2022-10-13,261_5year,assembly,663
2022-10-13,261_5year,terraform,644
2022-10-13,261_5year,scala,466
2022-10-13,261_5year,fortran,330
2022-10-13,261_5year,verilog,309
2022-10-13,261_5year,haskell,214
2022-10-13,261_5year,elixir,173
2022-10-13,261_5year,ocaml,74
2022-10-13,261_5year,erlang,64
2022-10-13,261_5year,coq,32
2022-10-13,261_5year,sml,29
2022-10-13,261_5year,ada,14
2022-10-13,261_5year,lean,10
2022-10-13,261_5year,agda,5
2022-10-13,261_5year,isabelle,3
2022-10-13,261_5year,idris,2
2022-10-13,261_5year,tla,1
2022-10-13,alltime,java,3801394
2022-10-13,alltime,python,3473307
2022-10-13,alltime,c++,1239506
2022-10-13,alltime,c,873072
2022-10-13,alltime,r,309789
2022-10-13,alltime,go,272900
2022-10-13,alltime,scala,53634
2022-10-13,alltime,rust,45798
2022-10-13,alltime,terraform,43953
2022-10-13,alltime,assembly,25459
2022-10-13,alltime,haskell,16525
2022-10-13,alltime,verilog,14371
2022-10-13,alltime,fortran,14033
2022-10-13,alltime,elixir,8152
2022-10-13,alltime,erlang,7712
2022-10-13,alltime,ocaml,5205
2022-10-13,alltime,sml,3285
2022-10-13,alltime,coq,1086
2022-10-13,alltime,ada,890
2022-10-13,alltime,lean,359
2022-10-13,alltime,agda,237
2022-10-13,alltime,isabelle,150
2022-10-13,alltime,idris,105
2022-10-13,alltime,tla,73
