ds,sortby,pushed,language,license_key,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-08-18,stars,004_1month,ada,,5,0.0,5.0,5.0,4.0,5.0,0.0,6.0,134142.0,146400.0,29280.0,58675.289334608315,553.6,1375.0,4292.0,6585.0,83119.20000000001,15.0,2170.0,1127.2,1076.1448322600447,17.0,20.0,1274.0,2157.0,2164.8,2.0,26.0,11.6,10.064790112068906,2.0,2.0,13.0,15.0,21.6,0.0,260.0,260.0,52.0,116.27553482998907,0.0,0.0,0.0,0.0,156.00000000000003,0.0,44.0,44.0,8.8,19.677398201998148,0.0,0.0,0.0,0.0,26.400000000000006,0.0,45.0,46.0,9.2,20.0174923504419,0.0,0.0,0.0,1.0,27.400000000000006,0.0,11.0,2.2,4.919349550499538,0.0,0.0,0.0,0.0,6.600000000000001
2022-08-18,stars,004_1month,ada,agpl-3.0,2,2.0,2.0,2.0,0.0,1.0,0.0,688.0,26618.0,27306.0,13653.0,18335.278836167177,3281.0,7170.5,13653.0,20135.5,24025.0,44.0,1653.0,848.5,1137.734810929155,204.9,446.25,848.5,1250.75,1492.1,1.0,19.0,10.0,12.727922061357855,2.8,5.5,10.0,14.5,17.2,0.0,85.0,85.0,42.5,60.10407640085654,8.5,21.25,42.5,63.75,76.5,0.0,5.0,5.0,2.5,3.5355339059327378,0.5,1.25,2.5,3.75,4.5,0.0,220.0,220.0,110.0,155.56349186104046,22.0,55.0,110.0,165.0,198.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0
2022-08-18,stars,004_1month,ada,apache-2.0,7,7.0,7.0,7.0,4.0,5.0,1.0,25.0,11404.0,22920.0,3274.285714285714,4066.5012690799167,128.20000000000002,612.0,2240.0,4013.5,7999.000000000002,218.0,2774.0,1760.0,1189.827438468845,378.8,650.0,2488.0,2770.0,2771.6,10.0,19.0,14.285714285714286,3.683941988065036,11.2,12.0,12.0,17.5,19.0,3.0,56.0,153.0,21.857142857142858,19.726704163211277,4.800000000000001,8.5,17.0,30.0,47.60000000000001,0.0,10.0,22.0,3.142857142857143,3.484660262185848,0.0,1.0,2.0,4.0,7.000000000000002,0.0,4.0,10.0,1.4285714285714286,1.5118578920369088,0.0,0.5,1.0,2.0,3.4000000000000004,0.0,7.0,5.0,2.449489742783178,2.4000000000000004,4.5,6.0,6.5,7.0
2022-08-18,stars,004_1month,ada,bsd-3-clause,4,4.0,4.0,4.0,1.0,4.0,0.0,347.0,19162.0,40102.0,10025.5,7695.299192797293,3205.1000000000004,7492.25,10296.5,12829.75,16629.100000000002,198.0,2515.0,872.5,1101.9215035564011,224.1,263.25,388.5,997.75,1908.1000000000004,11.0,27.0,20.25,6.701989754294367,14.0,18.5,21.5,23.25,25.5,0.0,192.0,193.0,48.25,95.83449274660978,0.0,0.0,0.5,48.75,134.70000000000005,0.0,124.0,124.0,31.0,62.0,0.0,0.0,0.0,31.0,86.80000000000003,0.0,13.0,13.0,3.25,6.500000000000001,0.0,0.0,0.0,3.25,9.100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-18,stars,004_1month,ada,gpl-2.0,1,1.0,1.0,1.0,1.0,1.0,0.0,11638.0,11638.0,11638.0,11638.0,,11638.0,11638.0,11638.0,11638.0,11638.0,4171.0,4171.0,4171.0,,4171.0,4171.0,4171.0,4171.0,4171.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0,48.0,48.0,48.0,48.0,,48.0,48.0,48.0,48.0,48.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,12.0,12.0,12.0,,12.0,12.0,12.0,12.0,12.0
2022-08-18,stars,004_1month,ada,gpl-3.0,7,7.0,6.0,7.0,6.0,7.0,1.0,442.0,112100.0,143560.0,20508.571428571428,40591.57147264746,716.8000000000001,2805.5,6077.0,9665.0,52383.20000000003,126.0,2039.0,1114.142857142857,827.7276984957932,145.8,336.5,1414.0,1773.5,1971.8,0.0,7.0,2.7142857142857144,2.429971585175824,0.6000000000000001,1.0,2.0,4.0,5.200000000000001,1.0,169.0,367.0,52.42857142857143,74.87958587594072,4.0,7.0,8.0,87.5,160.0,0.0,46.0,76.0,10.857142857142858,18.133105740868654,0.0,0.5,1.0,14.0,34.00000000000001,0.0,182.0,215.0,30.714285714285715,67.02167382201641,0.0,0.5,3.0,14.5,81.80000000000005,0.0,6.0,1.7142857142857142,2.9277002188455996,0.0,0.0,0.0,3.0,6.0
2022-08-18,stars,004_1month,ada,isc,3,3.0,3.0,3.0,3.0,3.0,0.0,6773.0,19141.0,32837.0,10945.666666666666,7097.763121810513,6803.0,6848.0,6923.0,13032.0,16697.4,18.0,216.0,84.0,114.3153532995459,18.0,18.0,18.0,117.0,176.4,2.0,18.0,11.333333333333334,8.32666399786453,4.4,8.0,14.0,16.0,17.2,1.0,2.0,4.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6666666666666666,1.1547005383792517,0.0,0.0,0.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-18,stars,004_1month,ada,mit,3,3.0,3.0,3.0,1.0,1.0,0.0,44.0,3693.0,4112.0,1370.6666666666667,2017.997604887908,110.2,209.5,375.0,2034.0,3029.4,272.0,1042.0,614.0,392.13773090586426,323.2,400.0,528.0,785.0,939.2,2.0,26.0,16.333333333333332,12.662279942148386,5.800000000000001,11.5,21.0,23.5,25.0,1.0,29.0,32.0,10.666666666666666,15.88500340992514,1.2,1.5,2.0,15.5,23.6,0.0,2.0,2.0,0.6666666666666666,1.1547005383792517,0.0,0.0,0.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.333333333333333,4.163331998932265,2.4,3.0,4.0,7.0,8.8
2022-08-18,stars,004_1month,ada,other,2,2.0,2.0,2.0,1.0,2.0,1.0,46.0,4462.0,4508.0,2254.0,3122.583545719794,487.6,1150.0,2254.0,3358.0,4020.4,112.0,1275.0,693.5,822.3651865199548,228.3,402.75,693.5,984.25,1158.7,2.0,18.0,10.0,11.313708498984761,3.6,6.0,10.0,14.0,16.4,0.0,3.0,3.0,1.5,2.1213203435596424,0.30000000000000004,0.75,1.5,2.25,2.7,0.0,6.0,6.0,3.0,4.242640687119285,0.6000000000000001,1.5,3.0,4.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.242640687119285,0.6000000000000001,1.5,3.0,4.5,5.4
2022-08-18,stars,004_1month,agda,,4,0.0,3.0,4.0,3.0,3.0,0.0,97.0,95327.0,98117.0,24529.25,47205.7500196392,258.40000000000003,500.5,1346.5,25375.25,67346.30000000002,86.0,928.0,398.0,388.40185375458753,99.2,119.0,289.0,568.0,784.0000000000001,2.0,26.0,9.5,11.120551545074852,2.6,3.5,5.0,11.0,20.000000000000004,0.0,3.0,4.0,1.0,1.4142135623730951,0.0,0.0,0.5,1.5,2.4000000000000004,0.0,5.0,5.0,1.25,2.5,0.0,0.0,0.0,1.25,3.500000000000001,0.0,15.0,15.0,3.75,7.5,0.0,0.0,0.0,3.75,10.500000000000004,0.0,4.0,2.0,2.309401076758503,0.0,0.0,2.0,4.0,4.0
