ds,created,language,user_count
2022-11-10,004_1month,python,345
2022-11-10,004_1month,java,176
2022-11-10,004_1month,c++,82
2022-11-10,004_1month,c,60
2022-11-10,004_1month,rust,18
2022-11-10,004_1month,r,16
2022-11-10,004_1month,go,12
2022-11-10,004_1month,terraform,5
2022-11-10,004_1month,fortran,3
2022-11-10,004_1month,haskell,2
2022-11-10,004_1month,tla,1
2022-11-10,004_1month,elixir,1
2022-11-10,004_1month,assembly,1
2022-11-10,004_1month,verilog,1
2022-11-10,004_1month,ada,0
2022-11-10,004_1month,agda,0
2022-11-10,004_1month,coq,0
2022-11-10,004_1month,idris,0
2022-11-10,004_1month,isabelle,0
2022-11-10,004_1month,lean,0
2022-11-10,004_1month,sml,0
2022-11-10,004_1month,erlang,0
2022-11-10,004_1month,ocaml,0
2022-11-10,004_1month,scala,0
2022-11-10,013_3month,python,1784
2022-11-10,013_3month,java,906
2022-11-10,013_3month,c++,470
2022-11-10,013_3month,c,294
2022-11-10,013_3month,r,100
2022-11-10,013_3month,go,92
2022-11-10,013_3month,rust,54
2022-11-10,013_3month,terraform,19
2022-11-10,013_3month,assembly,11
2022-11-10,013_3month,fortran,7
2022-11-10,013_3month,verilog,7
2022-11-10,013_3month,haskell,6
2022-11-10,013_3month,scala,4
2022-11-10,013_3month,elixir,3
2022-11-10,013_3month,tla,1
2022-11-10,013_3month,ada,0
2022-11-10,013_3month,agda,0
2022-11-10,013_3month,coq,0
2022-11-10,013_3month,idris,0
2022-11-10,013_3month,isabelle,0
2022-11-10,013_3month,lean,0
2022-11-10,013_3month,sml,0
2022-11-10,013_3month,erlang,0
2022-11-10,013_3month,ocaml,0
2022-11-10,052_1year,python,10750
2022-11-10,052_1year,java,5004
2022-11-10,052_1year,c++,2603
2022-11-10,052_1year,c,1666
2022-11-10,052_1year,go,720
2022-11-10,052_1year,r,720
2022-11-10,052_1year,rust,334
2022-11-10,052_1year,terraform,127
2022-11-10,052_1year,assembly,67
2022-11-10,052_1year,verilog,44
2022-11-10,052_1year,haskell,34
2022-11-10,052_1year,scala,30
2022-11-10,052_1year,fortran,26
2022-11-10,052_1year,elixir,21
2022-11-10,052_1year,erlang,17
2022-11-10,052_1year,ocaml,4
2022-11-10,052_1year,coq,3
2022-11-10,052_1year,lean,2
2022-11-10,052_1year,ada,1
2022-11-10,052_1year,isabelle,1
2022-11-10,052_1year,tla,1
2022-11-10,052_1year,agda,0
2022-11-10,052_1year,idris,0
2022-11-10,052_1year,sml,0
2022-11-10,261_5year,python,77903
2022-11-10,261_5year,java,45780
2022-11-10,261_5year,c++,23302
2022-11-10,261_5year,c,13924
2022-11-10,261_5year,r,7958
2022-11-10,261_5year,go,3658
2022-11-10,261_5year,rust,1185
2022-11-10,261_5year,terraform,667
2022-11-10,261_5year,assembly,659
2022-11-10,261_5year,scala,458
2022-11-10,261_5year,fortran,336
2022-11-10,261_5year,verilog,319
2022-11-10,261_5year,haskell,218
2022-11-10,261_5year,elixir,171
2022-11-10,261_5year,ocaml,71
2022-11-10,261_5year,erlang,64
2022-11-10,261_5year,coq,31
2022-11-10,261_5year,sml,29
2022-11-10,261_5year,ada,14
2022-11-10,261_5year,lean,10
2022-11-10,261_5year,agda,5
2022-11-10,261_5year,isabelle,3
2022-11-10,261_5year,idris,2
2022-11-10,261_5year,tla,2
2022-11-10,alltime,java,3845860
2022-11-10,alltime,python,3537183
2022-11-10,alltime,c++,1258025
2022-11-10,alltime,c,884861
2022-11-10,alltime,r,293069
2022-11-10,alltime,go,277328
2022-11-10,alltime,scala,53912
2022-11-10,alltime,rust,47694
2022-11-10,alltime,terraform,45528
2022-11-10,alltime,assembly,25834
2022-11-10,alltime,haskell,16643
2022-11-10,alltime,verilog,14602
2022-11-10,alltime,fortran,14187
2022-11-10,alltime,elixir,8254
2022-11-10,alltime,erlang,7764
2022-11-10,alltime,ocaml,5273
2022-11-10,alltime,sml,3298
2022-11-10,alltime,coq,1098
2022-11-10,alltime,ada,907
2022-11-10,alltime,lean,366
2022-11-10,alltime,agda,240
2022-11-10,alltime,isabelle,151
2022-11-10,alltime,idris,105
2022-11-10,alltime,tla,73
