ds,sortby,pushed,language,repo_count,repo_data_count
2022-01-20,stars,001_1week,go,2095,1000
2022-01-20,stars,001_1week,rust,1159,1000
2022-01-20,stars,001_1week,elixir,142,142
2022-01-20,stars,001_1week,haskell,138,138
2022-01-20,stars,001_1week,ocaml,53,53
2022-01-20,stars,001_1week,erlang,23,23
2022-01-20,stars,001_1week,ada,16,16
2022-01-20,stars,001_1week,coq,9,9
2022-01-20,stars,001_1week,lean,6,6
2022-01-20,stars,001_1week,agda,5,5
2022-01-20,stars,001_1week,sml,4,4
2022-01-20,stars,001_1week,idris,2,2
2022-01-20,stars,001_1week,isabelle,2,2
2022-01-20,stars,001_1week,tla,1,1
