ds,created,language,user_count
2022-03-03,004_1month,python,349
2022-03-03,004_1month,java,151
2022-03-03,004_1month,c++,103
2022-03-03,004_1month,c,42
2022-03-03,004_1month,go,31
2022-03-03,004_1month,r,17
2022-03-03,004_1month,rust,12
2022-03-03,004_1month,haskell,1
2022-03-03,004_1month,assembly,1
2022-03-03,004_1month,scala,1
2022-03-03,004_1month,terraform,1
2022-03-03,004_1month,verilog,1
2022-03-03,004_1month,ada,0
2022-03-03,004_1month,agda,0
2022-03-03,004_1month,coq,0
2022-03-03,004_1month,idris,0
2022-03-03,004_1month,isabelle,0
2022-03-03,004_1month,lean,0
2022-03-03,004_1month,sml,0
2022-03-03,004_1month,tla,0
2022-03-03,004_1month,elixir,0
2022-03-03,004_1month,erlang,0
2022-03-03,004_1month,ocaml,0
2022-03-03,004_1month,fortran,0
2022-03-03,013_3month,python,1603
2022-03-03,013_3month,java,679
2022-03-03,013_3month,c++,382
2022-03-03,013_3month,c,208
2022-03-03,013_3month,go,133
2022-03-03,013_3month,r,100
2022-03-03,013_3month,rust,51
2022-03-03,013_3month,terraform,13
2022-03-03,013_3month,assembly,8
2022-03-03,013_3month,scala,5
2022-03-03,013_3month,haskell,4
2022-03-03,013_3month,verilog,4
2022-03-03,013_3month,elixir,3
2022-03-03,013_3month,erlang,3
2022-03-03,013_3month,fortran,3
2022-03-03,013_3month,coq,1
2022-03-03,013_3month,isabelle,1
2022-03-03,013_3month,lean,1
2022-03-03,013_3month,ocaml,1
2022-03-03,013_3month,ada,0
2022-03-03,013_3month,agda,0
2022-03-03,013_3month,idris,0
2022-03-03,013_3month,sml,0
2022-03-03,013_3month,tla,0
2022-03-03,052_1year,python,10082
2022-03-03,052_1year,java,4527
2022-03-03,052_1year,c++,2482
2022-03-03,052_1year,c,1505
2022-03-03,052_1year,r,726
2022-03-03,052_1year,go,550
2022-03-03,052_1year,rust,259
2022-03-03,052_1year,terraform,102
2022-03-03,052_1year,assembly,68
2022-03-03,052_1year,fortran,34
2022-03-03,052_1year,verilog,33
2022-03-03,052_1year,elixir,30
2022-03-03,052_1year,scala,29
2022-03-03,052_1year,haskell,27
2022-03-03,052_1year,erlang,20
2022-03-03,052_1year,ocaml,6
2022-03-03,052_1year,lean,3
2022-03-03,052_1year,coq,2
2022-03-03,052_1year,sml,2
2022-03-03,052_1year,ada,1
2022-03-03,052_1year,isabelle,1
2022-03-03,052_1year,agda,0
2022-03-03,052_1year,idris,0
2022-03-03,052_1year,tla,0
2022-03-03,261_5year,python,70352
2022-03-03,261_5year,java,46485
2022-03-03,261_5year,c++,22546
2022-03-03,261_5year,c,13337
2022-03-03,261_5year,r,8168
2022-03-03,261_5year,go,3235
2022-03-03,261_5year,rust,888
2022-03-03,261_5year,assembly,618
2022-03-03,261_5year,terraform,519
2022-03-03,261_5year,scala,515
2022-03-03,261_5year,fortran,356
2022-03-03,261_5year,verilog,301
2022-03-03,261_5year,haskell,219
2022-03-03,261_5year,elixir,178
2022-03-03,261_5year,ocaml,85
2022-03-03,261_5year,erlang,69
2022-03-03,261_5year,coq,30
2022-03-03,261_5year,sml,30
2022-03-03,261_5year,ada,14
2022-03-03,261_5year,agda,8
2022-03-03,261_5year,lean,8
2022-03-03,261_5year,idris,3
2022-03-03,261_5year,isabelle,3
2022-03-03,261_5year,tla,2
2022-03-03,alltime,java,3488109
2022-03-03,alltime,python,2995486
2022-03-03,alltime,c++,1119689
2022-03-03,alltime,c,793835
2022-03-03,alltime,r,290534
2022-03-03,alltime,go,234888
2022-03-03,alltime,scala,51009
2022-03-03,alltime,rust,34854
2022-03-03,alltime,terraform,32134
2022-03-03,alltime,assembly,23005
2022-03-03,alltime,haskell,15611
2022-03-03,alltime,fortran,12846
2022-03-03,alltime,verilog,12382
2022-03-03,alltime,elixir,7501
2022-03-03,alltime,erlang,7397
2022-03-03,alltime,ocaml,4885
2022-03-03,alltime,sml,3187
2022-03-03,alltime,coq,1025
2022-03-03,alltime,ada,847
2022-03-03,alltime,lean,300
2022-03-03,alltime,agda,224
2022-03-03,alltime,isabelle,139
2022-03-03,alltime,idris,99
2022-03-03,alltime,tla,67
