ds,sortby,pushed,language,repo_count,repo_data_count
2022-10-13,,001_1week,python,13129,0
2022-10-13,,001_1week,java,6896,0
2022-10-13,,001_1week,c++,4708,0
2022-10-13,,001_1week,c,2547,0
2022-10-13,,001_1week,go,2386,0
2022-10-13,,001_1week,rust,1391,0
2022-10-13,,001_1week,r,1247,0
2022-10-13,,001_1week,terraform,300,0
2022-10-13,,001_1week,scala,281,0
2022-10-13,,001_1week,elixir,142,0
2022-10-13,,001_1week,assembly,127,0
2022-10-13,,001_1week,haskell,120,0
2022-10-13,,001_1week,fortran,82,0
2022-10-13,,001_1week,verilog,66,0
2022-10-13,,001_1week,ocaml,45,0
2022-10-13,,001_1week,erlang,29,0
2022-10-13,,001_1week,ada,13,0
2022-10-13,,001_1week,coq,13,0
2022-10-13,,001_1week,agda,5,0
2022-10-13,,001_1week,sml,4,0
2022-10-13,,001_1week,lean,3,0
2022-10-13,,001_1week,isabelle,1,0
2022-10-13,,001_1week,idris,0,0
2022-10-13,,001_1week,tla,0,0
2022-10-13,,004_1month,python,37056,0
2022-10-13,,004_1month,java,20535,0
2022-10-13,,004_1month,c++,12292,0
2022-10-13,,004_1month,c,6827,0
2022-10-13,,004_1month,go,5478,0
2022-10-13,,004_1month,r,3722,0
2022-10-13,,004_1month,rust,3227,0
2022-10-13,,004_1month,terraform,895,0
2022-10-13,,004_1month,scala,618,0
2022-10-13,,004_1month,assembly,348,0
2022-10-13,,004_1month,elixir,324,0
2022-10-13,,004_1month,haskell,293,0
2022-10-13,,004_1month,fortran,195,0
2022-10-13,,004_1month,verilog,181,0
2022-10-13,,004_1month,ocaml,108,0
2022-10-13,,004_1month,erlang,54,0
2022-10-13,,004_1month,coq,35,0
2022-10-13,,004_1month,ada,26,0
2022-10-13,,004_1month,sml,14,0
2022-10-13,,004_1month,agda,12,0
2022-10-13,,004_1month,lean,10,0
2022-10-13,,004_1month,idris,5,0
2022-10-13,,004_1month,isabelle,5,0
2022-10-13,,004_1month,tla,3,0
2022-10-13,,013_3month,python,87983,0
2022-10-13,,013_3month,java,48931,0
2022-10-13,,013_3month,c++,27635,0
2022-10-13,,013_3month,c,15427,0
2022-10-13,,013_3month,go,10917,0
2022-10-13,,013_3month,r,8742,0
2022-10-13,,013_3month,rust,6448,0
2022-10-13,,013_3month,terraform,2054,0
2022-10-13,,013_3month,scala,1148,0
2022-10-13,,013_3month,assembly,791,0
2022-10-13,,013_3month,elixir,735,0
2022-10-13,,013_3month,haskell,690,0
2022-10-13,,013_3month,verilog,476,0
2022-10-13,,013_3month,fortran,398,0
2022-10-13,,013_3month,ocaml,233,0
2022-10-13,,013_3month,erlang,100,0
2022-10-13,,013_3month,coq,59,0
2022-10-13,,013_3month,ada,57,0
2022-10-13,,013_3month,sml,32,0
2022-10-13,,013_3month,agda,23,0
2022-10-13,,013_3month,lean,19,0
2022-10-13,,013_3month,isabelle,13,0
2022-10-13,,013_3month,idris,12,0
2022-10-13,,013_3month,tla,8,0
2022-10-13,,026_6month,python,152678,0
2022-10-13,,026_6month,java,87435,0
2022-10-13,,026_6month,c++,46129,0
2022-10-13,,026_6month,c,25825,0
2022-10-13,,026_6month,go,16672,0
2022-10-13,,026_6month,r,14683,0
2022-10-13,,026_6month,rust,9777,0
2022-10-13,,026_6month,terraform,3410,0
2022-10-13,,026_6month,scala,1696,0
2022-10-13,,026_6month,assembly,1447,0
2022-10-13,,026_6month,haskell,1124,0
2022-10-13,,026_6month,elixir,1078,0
2022-10-13,,026_6month,verilog,758,0
2022-10-13,,026_6month,fortran,633,0
2022-10-13,,026_6month,ocaml,376,0
2022-10-13,,026_6month,erlang,159,0
2022-10-13,,026_6month,ada,87,0
2022-10-13,,026_6month,coq,86,0
2022-10-13,,026_6month,sml,60,0
2022-10-13,,026_6month,agda,38,0
2022-10-13,,026_6month,lean,33,0
2022-10-13,,026_6month,idris,23,0
2022-10-13,,026_6month,isabelle,18,0
2022-10-13,,026_6month,tla,16,0
2022-10-13,,052_1year,python,188775,0
2022-10-13,,052_1year,java,149821,0
2022-10-13,,052_1year,c++,77626,0
2022-10-13,,052_1year,c,43905,0
2022-10-13,,052_1year,go,26166,0
2022-10-13,,052_1year,r,24411,0
2022-10-13,,052_1year,rust,14376,0
2022-10-13,,052_1year,terraform,5563,0
