ds,language,license_key,topic,repo_count
2022-11-03,elixir,,elixir,8
2022-11-03,elixir,,hacktoberfest,3
2022-11-03,elixir,,phoenix,3
2022-11-03,elixir,,telegram,3
2022-11-03,elixir,,api,2
2022-11-03,elixir,,bot,2
2022-11-03,elixir,,elixir-lang,2
2022-11-03,elixir,,telegram-bot,2
2022-11-03,elixir,agpl-3.0,elixir,4
2022-11-03,elixir,agpl-3.0,activitypub,2
2022-11-03,elixir,agpl-3.0,decentralized,2
2022-11-03,elixir,agpl-3.0,phoenix,2
2022-11-03,elixir,agpl-3.0,tailwindcss,2
2022-11-03,elixir,apache-2.0,elixir,9
2022-11-03,elixir,apache-2.0,nerves,2
2022-11-03,elixir,apache-2.0,phoenix,2
2022-11-03,elixir,gpl-3.0,elixir,2
2022-11-03,elixir,mit,elixir,24
2022-11-03,elixir,mit,elixir-lang,5
2022-11-03,elixir,mit,phoenix,4
2022-11-03,elixir,mit,hacktoberfest,3
2022-11-03,elixir,mit,phoenix-framework,3
2022-11-03,elixir,mit,data-science,2
2022-11-03,elixir,mit,data-visualization,2
2022-11-03,elixir,mit,distributed-systems,2
2022-11-03,elixir,mit,ecto,2
2022-11-03,elixir,mit,elixir-library,2
2022-11-03,elixir,mit,http,2
2022-11-03,elixir,mit,parser,2
2022-11-03,elixir,mit,phoenix-liveview,2
2022-11-03,elixir,mit,plug,2
2022-11-03,elixir,mit,rust,2
2022-11-03,elixir,mit,tailwindcss,2
2022-11-03,erlang,apache-2.0,erlang,2
2022-11-03,erlang,mit,erlang,2
2022-11-03,erlang,other,erlang,5
2022-11-03,erlang,other,messaging,3
2022-11-03,erlang,other,broker,2
2022-11-03,erlang,other,chat,2
2022-11-03,erlang,other,iot,2
2022-11-03,erlang,other,jabber,2
2022-11-03,erlang,other,mqtt,2
2022-11-03,erlang,other,pubsub,2
2022-11-03,erlang,other,xmpp,2
2022-11-03,go,,golang,6
2022-11-03,go,,go,2
2022-11-03,go,agpl-3.0,golang,13
2022-11-03,go,agpl-3.0,go,10
2022-11-03,go,agpl-3.0,hacktoberfest,6
2022-11-03,go,agpl-3.0,security,3
2022-11-03,go,agpl-3.0,aws,2
2022-11-03,go,agpl-3.0,blockchain,2
2022-11-03,go,agpl-3.0,cloud,2
2022-11-03,go,agpl-3.0,devops,2
2022-11-03,go,agpl-3.0,docker,2
2022-11-03,go,agpl-3.0,google-cloud-storage,2
2022-11-03,go,agpl-3.0,graphql,2
2022-11-03,go,agpl-3.0,kubernetes,2
2022-11-03,go,agpl-3.0,load-generator,2
2022-11-03,go,agpl-3.0,load-testing,2
2022-11-03,go,agpl-3.0,react,2
2022-11-03,go,agpl-3.0,s3,2
2022-11-03,go,agpl-3.0,shadowsocks,2
2022-11-03,go,agpl-3.0,storage,2
2022-11-03,go,agpl-3.0,webdav,2
2022-11-03,go,apache-2.0,kubernetes,132
2022-11-03,go,apache-2.0,golang,103
2022-11-03,go,apache-2.0,go,77
2022-11-03,go,apache-2.0,hacktoberfest,60
2022-11-03,go,apache-2.0,docker,40
2022-11-03,go,apache-2.0,containers,33
