ds,sortby,pushed,language,repo_count,repo_data_count
2022-09-22,,001_1week,python,12962,0
2022-09-22,,001_1week,java,6948,0
2022-09-22,,001_1week,c++,4574,0
2022-09-22,,001_1week,c,2503,0
2022-09-22,,001_1week,go,2332,0
2022-09-22,,001_1week,rust,1346,0
2022-09-22,,001_1week,r,1227,0
2022-09-22,,001_1week,terraform,321,0
2022-09-22,,001_1week,scala,295,0
2022-09-22,,001_1week,elixir,141,0
2022-09-22,,001_1week,assembly,119,0
2022-09-22,,001_1week,haskell,111,0
2022-09-22,,001_1week,fortran,67,0
2022-09-22,,001_1week,ocaml,47,0
2022-09-22,,001_1week,verilog,42,0
2022-09-22,,001_1week,erlang,18,0
2022-09-22,,001_1week,coq,16,0
2022-09-22,,001_1week,ada,14,0
2022-09-22,,001_1week,lean,6,0
2022-09-22,,001_1week,agda,5,0
2022-09-22,,001_1week,sml,3,0
2022-09-22,,001_1week,idris,1,0
2022-09-22,,001_1week,isabelle,1,0
2022-09-22,,001_1week,tla,1,0
2022-09-22,,004_1month,python,35743,0
2022-09-22,,004_1month,java,19690,0
2022-09-22,,004_1month,c++,11836,0
2022-09-22,,004_1month,c,6632,0
2022-09-22,,004_1month,go,5416,0
2022-09-22,,004_1month,r,3679,0
2022-09-22,,004_1month,rust,3109,0
2022-09-22,,004_1month,terraform,841,0
2022-09-22,,004_1month,scala,617,0
2022-09-22,,004_1month,elixir,364,0
2022-09-22,,004_1month,assembly,310,0
2022-09-22,,004_1month,haskell,306,0
2022-09-22,,004_1month,fortran,179,0
2022-09-22,,004_1month,verilog,172,0
2022-09-22,,004_1month,ocaml,124,0
2022-09-22,,004_1month,erlang,43,0
2022-09-22,,004_1month,coq,30,0
2022-09-22,,004_1month,ada,29,0
2022-09-22,,004_1month,sml,14,0
2022-09-22,,004_1month,agda,11,0
2022-09-22,,004_1month,lean,11,0
2022-09-22,,004_1month,idris,7,0
2022-09-22,,004_1month,isabelle,7,0
2022-09-22,,004_1month,tla,4,0
2022-09-22,,013_3month,python,87754,0
2022-09-22,,013_3month,java,47663,0
2022-09-22,,013_3month,c++,27242,0
2022-09-22,,013_3month,c,15157,0
2022-09-22,,013_3month,go,10825,0
2022-09-22,,013_3month,r,8590,0
2022-09-22,,013_3month,rust,6313,0
2022-09-22,,013_3month,terraform,2071,0
2022-09-22,,013_3month,scala,1134,0
2022-09-22,,013_3month,assembly,787,0
2022-09-22,,013_3month,elixir,734,0
2022-09-22,,013_3month,haskell,708,0
2022-09-22,,013_3month,verilog,440,0
2022-09-22,,013_3month,fortran,399,0
2022-09-22,,013_3month,ocaml,264,0
2022-09-22,,013_3month,erlang,92,0
2022-09-22,,013_3month,ada,64,0
2022-09-22,,013_3month,coq,60,0
2022-09-22,,013_3month,sml,37,0
2022-09-22,,013_3month,agda,20,0
2022-09-22,,013_3month,lean,20,0
2022-09-22,,013_3month,isabelle,13,0
2022-09-22,,013_3month,idris,10,0
2022-09-22,,013_3month,tla,10,0
2022-09-22,,026_6month,python,151874,0
2022-09-22,,026_6month,java,86977,0
2022-09-22,,026_6month,c++,45623,0
2022-09-22,,026_6month,c,25576,0
2022-09-22,,026_6month,go,16672,0
