ds,sortby,pushed,language,license_key,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-09-15,stars,004_1month,ada,,10,0.0,10.0,10.0,9.0,10.0,0.0,9.0,134084.0,171887.0,17188.7,41585.82768484154,13.5,858.75,1604.5,6044.0,32936.59999999996,4.0,3509.0,1039.0,1245.1614799338724,13.9,23.25,557.0,1964.25,2329.0999999999995,1.0,24.0,9.8,7.699927849589819,1.0,3.25,9.5,15.0,16.799999999999997,0.0,267.0,269.0,26.9,84.36356506876125,0.0,0.0,0.0,0.75,27.599999999999905,0.0,46.0,48.0,4.8,14.489843186023634,0.0,0.0,0.0,0.0,6.399999999999984,0.0,45.0,45.0,4.5,14.230249470757707,0.0,0.0,0.0,0.0,4.499999999999984,0.0,11.0,1.2,3.457680661303984,0.0,0.0,0.0,0.0,1.9999999999999964
2022-09-15,stars,004_1month,ada,agpl-3.0,1,1.0,1.0,1.0,0.0,1.0,1.0,26526.0,26526.0,26526.0,26526.0,,26526.0,26526.0,26526.0,26526.0,26526.0,1681.0,1681.0,1681.0,,1681.0,1681.0,1681.0,1681.0,1681.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,85.0,85.0,85.0,85.0,,85.0,85.0,85.0,85.0,85.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,204.0,204.0,204.0,204.0,,204.0,204.0,204.0,204.0,204.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-09-15,stars,004_1month,ada,apache-2.0,3,3.0,3.0,3.0,1.0,2.0,1.0,11.0,2314.0,2526.0,842.0,1278.3242937533496,49.0,106.0,201.0,1257.5,1891.4,5.0,842.0,453.6666666666667,421.7491355454488,106.80000000000001,259.5,514.0,678.0,776.4,3.0,12.0,7.666666666666667,4.509249752822894,4.0,5.5,8.0,10.0,11.2,2.0,42.0,47.0,15.666666666666666,22.810816147900834,2.2,2.5,3.0,22.5,34.2,0.0,5.0,5.0,1.6666666666666667,2.8867513459481287,0.0,0.0,0.0,2.5,4.0,0.0,2.0,2.0,0.6666666666666666,1.1547005383792517,0.0,0.0,0.0,1.0,1.6,0.0,4.0,1.3333333333333333,2.3094010767585034,0.0,0.0,0.0,2.0,3.2
2022-09-15,stars,004_1month,ada,bsd-3-clause,3,3.0,3.0,3.0,2.0,3.0,0.0,7.0,19162.0,19358.0,6452.666666666667,11006.981708594474,43.4,98.0,189.0,9675.5,15367.400000000001,21.0,2543.0,911.6666666666666,1414.7654693741056,51.0,96.0,171.0,1357.0,2068.6,3.0,24.0,16.0,11.357816691600547,6.6,12.0,21.0,22.5,23.4,0.0,195.0,199.0,66.33333333333333,111.44654922128964,0.8,2.0,4.0,99.5,156.8,0.0,128.0,129.0,43.0,73.61385739111897,0.2,0.5,1.0,64.5,102.60000000000001,0.0,13.0,20.0,6.666666666666667,6.506407098647712,1.4000000000000001,3.5,7.0,10.0,11.8,0.0,3.0,1.0,1.7320508075688772,0.0,0.0,0.0,1.5,2.4000000000000004
2022-09-15,stars,004_1month,ada,gpl-2.0,2,2.0,2.0,2.0,2.0,2.0,0.0,5660.0,11638.0,17298.0,8649.0,4227.084337933181,6257.8,7154.5,8649.0,10143.5,11040.2,1063.0,4199.0,2631.0,2217.486865801013,1376.6,1847.0,2631.0,3415.0,3885.4,4.0,7.0,5.5,2.1213203435596424,4.3,4.75,5.5,6.25,6.7,14.0,47.0,61.0,30.5,23.33452377915607,17.3,22.25,30.5,38.75,43.7,0.0,7.0,7.0,3.5,4.949747468305833,0.7000000000000001,1.75,3.5,5.25,6.3,1.0,4.0,5.0,2.5,2.1213203435596424,1.3,1.75,2.5,3.25,3.7,0.0,13.0,6.5,9.192388155425117,1.3,3.25,6.5,9.75,11.7
2022-09-15,stars,004_1month,ada,gpl-3.0,8,8.0,7.0,8.0,7.0,8.0,1.0,392.0,112310.0,195302.0,24412.75,39013.193562288274,756.7,3814.75,6470.5,22933.5,68748.29999999999,154.0,2067.0,1039.5,819.4763136121925,177.1,287.5,992.0,1724.75,1988.6,1.0,27.0,8.5,10.099504938362077,1.7000000000000002,2.0,4.0,10.0,23.5,2.0,172.0,379.0,47.375,72.92645512530316,2.7,5.25,8.5,55.25,162.2,0.0,47.0,80.0,10.0,17.728105208558365,0.0,0.75,1.0,8.5,33.699999999999996,0.0,187.0,224.0,28.0,64.61755621677882,0.0,0.75,2.0,15.0,68.69999999999996,0.0,6.0,2.125,2.948970764763288,0.0,0.0,0.0,5.25,6.0
2022-09-15,stars,004_1month,ada,mit,2,2.0,2.0,2.0,1.0,2.0,1.0,16.0,11683.0,11699.0,5849.5,8249.81481610345,1182.7,2932.75,5849.5,8766.25,10516.3,98.0,3897.0,1997.5,2686.2986617276943,477.90000000000003,1047.75,1997.5,2947.25,3517.1,7.0,9.0,8.0,1.4142135623730951,7.2,7.5,8.0,8.5,8.8,0.0,80.0,80.0,40.0,56.568542494923804,8.0,20.0,40.0,60.0,72.0,0.0,15.0,15.0,7.5,10.606601717798213,1.5,3.75,7.5,11.25,13.5,0.0,2.0,2.0,1.0,1.4142135623730951,0.2,0.5,1.0,1.5,1.8,0.0,4.0,2.0,2.8284271247461903,0.4,1.0,2.0,3.0,3.6
2022-09-15,stars,004_1month,ada,other,1,1.0,1.0,1.0,0.0,1.0,1.0,4993.0,4993.0,4993.0,4993.0,,4993.0,4993.0,4993.0,4993.0,4993.0,1303.0,1303.0,1303.0,,1303.0,1303.0,1303.0,1303.0,1303.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-09-15,stars,004_1month,agda,,7,0.0,7.0,7.0,6.0,7.0,0.0,6.0,647.0,1407.0,201.0,214.20939910906492,49.80000000000001,85.0,108.0,238.0,402.20000000000016,23.0,997.0,273.57142857142856,349.7345932479166,23.6,69.0,149.0,304.0,668.8000000000002,7.0,25.0,18.142857142857142,6.7436036713459435,9.4,14.5,20.0,23.0,23.8,0.0,2.0,3.0,0.42857142857142855,0.7867957924694432,0.0,0.0,0.0,0.5,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5714285714285714,1.511857892036909,0.0,0.0,0.0,0.0,1.6000000000000014
2022-09-15,stars,004_1month,agda,agpl-3.0,1,1.0,1.0,1.0,1.0,1.0,0.0,131.0,131.0,131.0,131.0,,131.0,131.0,131.0,131.0,131.0,365.0,365.0,365.0,,365.0,365.0,365.0,365.0,365.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
