ds,sortby,pushed,language,repo_count,repo_data_count
2022-05-05,,001_1week,python,12084,0
2022-05-05,,001_1week,java,6577,0
2022-05-05,,001_1week,c++,4283,0
2022-05-05,,001_1week,c,2166,0
2022-05-05,,001_1week,go,1950,0
2022-05-05,,001_1week,r,1358,0
2022-05-05,,001_1week,rust,1102,0
2022-05-05,,001_1week,terraform,310,0
2022-05-05,,001_1week,scala,255,0
2022-05-05,,001_1week,elixir,138,0
2022-05-05,,001_1week,haskell,113,0
2022-05-05,,001_1week,assembly,96,0
2022-05-05,,001_1week,fortran,74,0
2022-05-05,,001_1week,verilog,42,0
2022-05-05,,001_1week,ocaml,38,0
2022-05-05,,001_1week,erlang,19,0
2022-05-05,,001_1week,ada,15,0
2022-05-05,,001_1week,coq,12,0
2022-05-05,,001_1week,agda,8,0
2022-05-05,,001_1week,lean,6,0
2022-05-05,,001_1week,idris,4,0
2022-05-05,,001_1week,sml,3,0
2022-05-05,,001_1week,isabelle,2,0
2022-05-05,,001_1week,tla,1,0
2022-05-05,,004_1month,python,35293,0
2022-05-05,,004_1month,java,20085,0
2022-05-05,,004_1month,c++,11631,0
2022-05-05,,004_1month,c,6255,0
2022-05-05,,004_1month,go,5005,0
2022-05-05,,004_1month,r,3848,0
2022-05-05,,004_1month,rust,2586,0
2022-05-05,,004_1month,terraform,867,0
2022-05-05,,004_1month,scala,627,0
2022-05-05,,004_1month,assembly,306,0
2022-05-05,,004_1month,haskell,304,0
2022-05-05,,004_1month,elixir,298,0
2022-05-05,,004_1month,fortran,199,0
2022-05-05,,004_1month,verilog,116,0
2022-05-05,,004_1month,ocaml,103,0
2022-05-05,,004_1month,erlang,46,0
2022-05-05,,004_1month,ada,35,0
2022-05-05,,004_1month,coq,25,0
2022-05-05,,004_1month,agda,14,0
2022-05-05,,004_1month,lean,11,0
2022-05-05,,004_1month,idris,10,0
2022-05-05,,004_1month,sml,9,0
2022-05-05,,004_1month,isabelle,6,0
2022-05-05,,004_1month,tla,4,0
2022-05-05,,013_3month,python,88779,0
2022-05-05,,013_3month,java,56371,0
2022-05-05,,013_3month,c++,27614,0
2022-05-05,,013_3month,c,15256,0
2022-05-05,,013_3month,go,10991,0
2022-05-05,,013_3month,r,9351,0
2022-05-05,,013_3month,rust,5746,0
2022-05-05,,013_3month,terraform,2149,0
2022-05-05,,013_3month,scala,1294,0
2022-05-05,,013_3month,elixir,1177,0
2022-05-05,,013_3month,assembly,863,0
2022-05-05,,013_3month,haskell,767,0
2022-05-05,,013_3month,fortran,439,0
2022-05-05,,013_3month,verilog,357,0
