ds,sortby,pushed,language,repo_count,repo_data_count
2022-04-28,stars,004_1month,ada,34,34
2022-04-28,stars,004_1month,coq,24,24
2022-04-28,stars,004_1month,agda,12,12
2022-04-28,stars,004_1month,lean,10,10
2022-04-28,stars,004_1month,idris,8,8
2022-04-28,stars,004_1month,isabelle,7,7
2022-04-28,stars,004_1month,sml,6,6
2022-04-28,stars,004_1month,tla,4,4
2022-04-28,stars,013_3month,ada,61,61
2022-04-28,stars,013_3month,coq,58,58
2022-04-28,stars,013_3month,sml,27,27
2022-04-28,stars,013_3month,agda,22,22
2022-04-28,stars,013_3month,lean,21,21
2022-04-28,stars,013_3month,isabelle,18,18
2022-04-28,stars,013_3month,idris,11,11
2022-04-28,stars,013_3month,tla,7,7
2022-04-28,stars,026_6month,ada,90,90
2022-04-28,stars,026_6month,coq,88,88
2022-04-28,stars,026_6month,sml,54,54
2022-04-28,stars,026_6month,agda,36,36
2022-04-28,stars,026_6month,lean,30,30
2022-04-28,stars,026_6month,isabelle,24,24
2022-04-28,stars,026_6month,idris,19,19
2022-04-28,stars,026_6month,tla,11,11
2022-04-28,stars,052_1year,ada,129,129
2022-04-28,stars,052_1year,coq,116,116
2022-04-28,stars,052_1year,sml,97,97
2022-04-28,stars,052_1year,agda,51,51
2022-04-28,stars,052_1year,lean,47,47
2022-04-28,stars,052_1year,isabelle,36,36
2022-04-28,stars,052_1year,idris,26,26
2022-04-28,stars,052_1year,tla,18,18
2022-04-28,stars,156_3year,coq,324,324
2022-04-28,stars,156_3year,ada,260,260
2022-04-28,stars,156_3year,sml,232,232
2022-04-28,stars,156_3year,agda,111,111
2022-04-28,stars,156_3year,lean,79,79
2022-04-28,stars,156_3year,isabelle,63,63
2022-04-28,stars,156_3year,idris,58,58
2022-04-28,stars,156_3year,tla,46,46
2022-04-28,stars,alltime,coq,526,526
2022-04-28,stars,alltime,ada,465,465
2022-04-28,stars,alltime,sml,435,435
2022-04-28,stars,alltime,agda,206,206
2022-04-28,stars,alltime,idris,144,144
2022-04-28,stars,alltime,isabelle,100,100
2022-04-28,stars,alltime,lean,89,89
2022-04-28,stars,alltime,tla,66,66
