ds,sortby,pushed,language,repo_count,repo_data_count
2022-04-21,stars,004_1month,ada,32,32
2022-04-21,stars,004_1month,coq,29,29
2022-04-21,stars,004_1month,agda,13,13
2022-04-21,stars,004_1month,lean,9,9
2022-04-21,stars,004_1month,sml,9,9
2022-04-21,stars,004_1month,isabelle,7,7
2022-04-21,stars,004_1month,idris,6,6
2022-04-21,stars,004_1month,tla,4,4
2022-04-21,stars,013_3month,ada,60,60
2022-04-21,stars,013_3month,coq,60,60
2022-04-21,stars,013_3month,sml,30,30
2022-04-21,stars,013_3month,agda,22,22
2022-04-21,stars,013_3month,lean,21,21
2022-04-21,stars,013_3month,isabelle,16,16
2022-04-21,stars,013_3month,idris,9,9
2022-04-21,stars,013_3month,tla,7,7
2022-04-21,stars,026_6month,coq,87,87
2022-04-21,stars,026_6month,ada,86,86
2022-04-21,stars,026_6month,sml,56,56
2022-04-21,stars,026_6month,agda,35,35
2022-04-21,stars,026_6month,lean,29,29
2022-04-21,stars,026_6month,isabelle,22,22
2022-04-21,stars,026_6month,idris,19,19
2022-04-21,stars,026_6month,tla,11,11
2022-04-21,stars,052_1year,ada,125,125
2022-04-21,stars,052_1year,coq,116,116
2022-04-21,stars,052_1year,sml,103,103
2022-04-21,stars,052_1year,agda,51,51
2022-04-21,stars,052_1year,lean,46,46
2022-04-21,stars,052_1year,isabelle,35,35
2022-04-21,stars,052_1year,idris,27,27
2022-04-21,stars,052_1year,tla,18,18
2022-04-21,stars,156_3year,coq,324,324
2022-04-21,stars,156_3year,ada,257,257
2022-04-21,stars,156_3year,sml,233,233
2022-04-21,stars,156_3year,agda,111,111
2022-04-21,stars,156_3year,lean,79,79
2022-04-21,stars,156_3year,isabelle,62,62
2022-04-21,stars,156_3year,idris,57,57
2022-04-21,stars,156_3year,tla,46,46
2022-04-21,stars,alltime,coq,526,526
2022-04-21,stars,alltime,ada,459,459
2022-04-21,stars,alltime,sml,436,436
2022-04-21,stars,alltime,agda,206,206
2022-04-21,stars,alltime,idris,143,143
2022-04-21,stars,alltime,isabelle,99,99
2022-04-21,stars,alltime,lean,88,88
2022-04-21,stars,alltime,tla,66,66
