ds,sortby,pushed,language,repo_count,repo_data_count
2022-04-07,stars,004_1month,ada,31,31
2022-04-07,stars,004_1month,coq,24,24
2022-04-07,stars,004_1month,isabelle,9,9
2022-04-07,stars,004_1month,lean,9,9
2022-04-07,stars,004_1month,agda,8,8
2022-04-07,stars,004_1month,sml,7,7
2022-04-07,stars,004_1month,idris,6,6
2022-04-07,stars,004_1month,tla,4,4
2022-04-07,stars,013_3month,coq,65,65
2022-04-07,stars,013_3month,ada,61,61
2022-04-07,stars,013_3month,sml,30,30
2022-04-07,stars,013_3month,agda,21,21
2022-04-07,stars,013_3month,lean,19,19
2022-04-07,stars,013_3month,isabelle,17,17
2022-04-07,stars,013_3month,idris,8,8
2022-04-07,stars,013_3month,tla,6,6
2022-04-07,stars,026_6month,coq,88,88
2022-04-07,stars,026_6month,ada,86,86
2022-04-07,stars,026_6month,sml,56,56
2022-04-07,stars,026_6month,agda,31,31
2022-04-07,stars,026_6month,lean,29,29
2022-04-07,stars,026_6month,isabelle,25,25
2022-04-07,stars,026_6month,idris,17,17
2022-04-07,stars,026_6month,tla,10,10
2022-04-07,stars,052_1year,ada,123,123
2022-04-07,stars,052_1year,coq,119,119
2022-04-07,stars,052_1year,sml,103,103
2022-04-07,stars,052_1year,agda,48,48
2022-04-07,stars,052_1year,lean,44,44
2022-04-07,stars,052_1year,isabelle,35,35
2022-04-07,stars,052_1year,idris,26,26
2022-04-07,stars,052_1year,tla,19,19
2022-04-07,stars,156_3year,coq,325,325
2022-04-07,stars,156_3year,ada,254,254
2022-04-07,stars,156_3year,sml,230,230
2022-04-07,stars,156_3year,agda,109,109
2022-04-07,stars,156_3year,lean,76,76
2022-04-07,stars,156_3year,isabelle,61,61
2022-04-07,stars,156_3year,idris,56,56
2022-04-07,stars,156_3year,tla,46,46
2022-04-07,stars,alltime,coq,524,524
2022-04-07,stars,alltime,ada,455,455
2022-04-07,stars,alltime,sml,433,433
2022-04-07,stars,alltime,agda,202,202
2022-04-07,stars,alltime,idris,142,142
2022-04-07,stars,alltime,isabelle,97,97
2022-04-07,stars,alltime,lean,85,85
2022-04-07,stars,alltime,tla,66,66
