ds,sortby,pushed,language,repo_count,repo_data_count
2022-06-23,stars,001_1week,go,2137,1000
2022-06-23,stars,001_1week,rust,1270,1000
2022-06-23,stars,001_1week,haskell,124,124
2022-06-23,stars,001_1week,elixir,112,112
2022-06-23,stars,001_1week,ocaml,41,41
2022-06-23,stars,001_1week,erlang,16,16
2022-06-23,stars,001_1week,ada,15,15
2022-06-23,stars,001_1week,coq,12,12
2022-06-23,stars,001_1week,lean,9,9
2022-06-23,stars,001_1week,sml,7,7
2022-06-23,stars,001_1week,agda,5,5
2022-06-23,stars,001_1week,idris,4,4
2022-06-23,stars,001_1week,isabelle,3,3
2022-06-23,stars,001_1week,tla,2,2
