ds,created,language,user_count
2022-01-01,004_1month,python,269
2022-01-01,004_1month,java,151
2022-01-01,004_1month,c++,71
2022-01-01,004_1month,c,36
2022-01-01,004_1month,go,32
2022-01-01,004_1month,r,20
2022-01-01,004_1month,rust,12
2022-01-01,004_1month,terraform,5
2022-01-01,004_1month,assembly,2
2022-01-01,004_1month,fortran,2
2022-01-01,004_1month,isabelle,1
2022-01-01,004_1month,lean,1
2022-01-01,004_1month,verilog,1
2022-01-01,004_1month,ada,0
2022-01-01,004_1month,agda,0
2022-01-01,004_1month,coq,0
2022-01-01,004_1month,idris,0
2022-01-01,004_1month,tla,0
2022-01-01,004_1month,elixir,0
2022-01-01,004_1month,erlang,0
2022-01-01,004_1month,haskell,0
2022-01-01,004_1month,ocaml,0
2022-01-01,004_1month,scala,0
2022-01-01,013_3month,python,1392
2022-01-01,013_3month,java,680
2022-01-01,013_3month,c++,364
2022-01-01,013_3month,c,248
2022-01-01,013_3month,r,106
2022-01-01,013_3month,go,104
2022-01-01,013_3month,rust,63
2022-01-01,013_3month,terraform,19
2022-01-01,013_3month,assembly,12
2022-01-01,013_3month,fortran,6
2022-01-01,013_3month,elixir,5
2022-01-01,013_3month,haskell,5
2022-01-01,013_3month,erlang,3
2022-01-01,013_3month,ocaml,3
2022-01-01,013_3month,verilog,3
2022-01-01,013_3month,isabelle,1
2022-01-01,013_3month,lean,1
2022-01-01,013_3month,scala,1
2022-01-01,013_3month,ada,0
2022-01-01,013_3month,agda,0
2022-01-01,013_3month,coq,0
2022-01-01,013_3month,idris,0
2022-01-01,013_3month,tla,0
2022-01-01,052_1year,python,10063
2022-01-01,052_1year,java,4584
2022-01-01,052_1year,c++,2516
2022-01-01,052_1year,c,1483
2022-01-01,052_1year,r,763
2022-01-01,052_1year,go,526
2022-01-01,052_1year,rust,261
2022-01-01,052_1year,terraform,101
2022-01-01,052_1year,assembly,76
2022-01-01,052_1year,verilog,40
2022-01-01,052_1year,fortran,37
2022-01-01,052_1year,elixir,28
2022-01-01,052_1year,scala,28
2022-01-01,052_1year,haskell,22
2022-01-01,052_1year,erlang,12
2022-01-01,052_1year,ocaml,6
2022-01-01,052_1year,lean,4
2022-01-01,052_1year,coq,2
2022-01-01,052_1year,ada,1
2022-01-01,052_1year,isabelle,1
2022-01-01,052_1year,agda,0
2022-01-01,052_1year,idris,0
2022-01-01,052_1year,tla,0
2022-01-01,261_5year,python,68495
2022-01-01,261_5year,java,47121
2022-01-01,261_5year,c++,22427
2022-01-01,261_5year,c,13206
2022-01-01,261_5year,r,8186
2022-01-01,261_5year,go,3145
2022-01-01,261_5year,rust,849
2022-01-01,261_5year,assembly,633
2022-01-01,261_5year,scala,533
2022-01-01,261_5year,terraform,487
2022-01-01,261_5year,fortran,361
2022-01-01,261_5year,verilog,299
2022-01-01,261_5year,haskell,221
2022-01-01,261_5year,elixir,188
2022-01-01,261_5year,ocaml,92
2022-01-01,261_5year,erlang,62
2022-01-01,261_5year,coq,31
2022-01-01,261_5year,ada,16
2022-01-01,261_5year,agda,8
2022-01-01,261_5year,lean,8
2022-01-01,261_5year,idris,3
2022-01-01,261_5year,isabelle,3
2022-01-01,261_5year,tla,2
2022-01-01,alltime,java,3408628
2022-01-01,alltime,python,2869130
2022-01-01,alltime,c++,1088326
2022-01-01,alltime,c,771506
2022-01-01,alltime,r,284935
2022-01-01,alltime,go,219412
2022-01-01,alltime,scala,50301
2022-01-01,alltime,rust,32852
2022-01-01,alltime,terraform,29148
2022-01-01,alltime,assembly,22313
2022-01-01,alltime,haskell,15288
2022-01-01,alltime,fortran,12530
2022-01-01,alltime,verilog,11963
2022-01-01,alltime,elixir,7316
2022-01-01,alltime,erlang,7259
2022-01-01,alltime,ocaml,4777
2022-01-01,alltime,coq,1012
2022-01-01,alltime,ada,823
2022-01-01,alltime,lean,283
2022-01-01,alltime,agda,214
2022-01-01,alltime,isabelle,137
2022-01-01,alltime,idris,96
2022-01-01,alltime,tla,66
