ds,language,license_key,topic,repo_count
2022-10-13,ada,gpl-3.0,ada,2
2022-10-13,coq,bsd-3-clause,coq,2
2022-10-13,coq,mit,coq,2
2022-10-13,elixir,,elixir,10
2022-10-13,elixir,,hacktoberfest,4
2022-10-13,elixir,,elixir-lang,2
2022-10-13,elixir,,phoenix,2
2022-10-13,elixir,,telegram,2
2022-10-13,elixir,,telegram-bot,2
2022-10-13,elixir,agpl-3.0,elixir,6
2022-10-13,elixir,agpl-3.0,phoenix,4
2022-10-13,elixir,agpl-3.0,activitypub,2
2022-10-13,elixir,agpl-3.0,decentralized,2
2022-10-13,elixir,agpl-3.0,tailwindcss,2
2022-10-13,elixir,apache-2.0,elixir,9
2022-10-13,elixir,apache-2.0,membrane,2
2022-10-13,elixir,apache-2.0,phoenix,2
2022-10-13,elixir,gpl-3.0,elixir,3
2022-10-13,elixir,gpl-3.0,phoenix,2
2022-10-13,elixir,mit,elixir,32
2022-10-13,elixir,mit,phoenix,8
2022-10-13,elixir,mit,elixir-lang,6
2022-10-13,elixir,mit,elixir-library,5
2022-10-13,elixir,mit,ecto,4
2022-10-13,elixir,mit,liveview,3
2022-10-13,elixir,mit,phoenix-framework,3
2022-10-13,elixir,mit,docker,2
2022-10-13,elixir,mit,framework,2
2022-10-13,elixir,mit,hacktoberfest,2
2022-10-13,elixir,mit,http,2
2022-10-13,elixir,mit,json,2
2022-10-13,elixir,mit,pagination,2
2022-10-13,elixir,mit,phoenix-liveview,2
2022-10-13,elixir,mit,rust,2
2022-10-13,elixir,mit,tailwindcss,2
2022-10-13,elixir,mit,webrtc,2
2022-10-13,elixir,other,elixir,3
2022-10-13,erlang,apache-2.0,erlang,5
2022-10-13,erlang,other,erlang,6
2022-10-13,erlang,other,messaging,3
2022-10-13,erlang,other,broker,2
2022-10-13,erlang,other,chat,2
2022-10-13,erlang,other,iot,2
2022-10-13,erlang,other,jabber,2
2022-10-13,erlang,other,mqtt,2
2022-10-13,erlang,other,pubsub,2
2022-10-13,erlang,other,xmpp,2
2022-10-13,go,,golang,8
2022-10-13,go,,go,3
2022-10-13,go,,hacktoberfest,2
2022-10-13,go,,kubernetes,2
2022-10-13,go,agpl-3.0,golang,10
2022-10-13,go,agpl-3.0,go,8
2022-10-13,go,agpl-3.0,hacktoberfest,7
2022-10-13,go,agpl-3.0,security,3
2022-10-13,go,agpl-3.0,aws,2
2022-10-13,go,agpl-3.0,blockchain,2
2022-10-13,go,agpl-3.0,cloud,2
2022-10-13,go,agpl-3.0,containers,2
2022-10-13,go,agpl-3.0,devops,2
2022-10-13,go,agpl-3.0,docker,2
2022-10-13,go,agpl-3.0,google-cloud-storage,2
2022-10-13,go,agpl-3.0,hacktoberfest2022,2
2022-10-13,go,agpl-3.0,kubernetes,2
2022-10-13,go,agpl-3.0,load-generator,2
2022-10-13,go,agpl-3.0,load-testing,2
2022-10-13,go,agpl-3.0,monitoring,2
2022-10-13,go,agpl-3.0,prometheus,2
2022-10-13,go,agpl-3.0,s3,2
2022-10-13,go,agpl-3.0,shadowsocks,2
2022-10-13,go,agpl-3.0,storage,2
2022-10-13,go,agpl-3.0,webdav,2
2022-10-13,go,apache-2.0,kubernetes,131
2022-10-13,go,apache-2.0,golang,102
2022-10-13,go,apache-2.0,go,70
2022-10-13,go,apache-2.0,hacktoberfest,62
2022-10-13,go,apache-2.0,docker,38
2022-10-13,go,apache-2.0,containers,33
2022-10-13,go,apache-2.0,cloud-native,25
2022-10-13,go,apache-2.0,security,24
2022-10-13,go,apache-2.0,k8s,22
2022-10-13,go,apache-2.0,prometheus,19
2022-10-13,go,apache-2.0,monitoring,17
2022-10-13,go,apache-2.0,devops,16
2022-10-13,go,apache-2.0,observability,16
2022-10-13,go,apache-2.0,database,15
2022-10-13,go,apache-2.0,metrics,15
2022-10-13,go,apache-2.0,grpc,13
2022-10-13,go,apache-2.0,operator,13
