ds,language,license_key,topic,repo_count
2022-03-03,coq,,coq,2
2022-03-03,coq,,mathcomp,2
2022-03-03,coq,,ssreflect,2
2022-03-03,elixir,,elixir,22
2022-03-03,elixir,,phoenix,7
2022-03-03,elixir,,rocketseat-ignite,7
2022-03-03,elixir,,challenge,5
2022-03-03,elixir,,phoenix-framework,5
2022-03-03,elixir,,elixir-lang,4
2022-03-03,elixir,,binary,2
2022-03-03,elixir,,elixir-programming-language,2
2022-03-03,elixir,,hacktoberfest,2
2022-03-03,elixir,,liveview,2
2022-03-03,elixir,agpl-3.0,elixir,3
2022-03-03,elixir,agpl-3.0,phoenix,3
2022-03-03,elixir,agpl-3.0,tailwindcss,2
2022-03-03,elixir,apache-2.0,elixir,10
2022-03-03,elixir,apache-2.0,nerves,3
2022-03-03,elixir,apache-2.0,elixir-lang,2
2022-03-03,elixir,apache-2.0,phoenix,2
2022-03-03,elixir,bsd-3-clause,elixir,2
2022-03-03,elixir,gpl-3.0,elixir,4
2022-03-03,elixir,mit,elixir,27
2022-03-03,elixir,mit,elixir-lang,4
2022-03-03,elixir,mit,json,4
2022-03-03,elixir,mit,phoenix,3
2022-03-03,elixir,mit,phoenix-framework,3
2022-03-03,elixir,mit,code-generator,2
2022-03-03,elixir,mit,cryptocurrency,2
2022-03-03,elixir,mit,dashboard,2
2022-03-03,elixir,mit,data-science,2
2022-03-03,elixir,mit,ecto,2
2022-03-03,elixir,mit,elm,2
2022-03-03,elixir,mit,elm-lang,2
2022-03-03,elixir,mit,event-sourcing,2
2022-03-03,elixir,mit,graphql,2
2022-03-03,elixir,mit,property-based-testing,2
2022-03-03,elixir,mit,rabbitmq,2
2022-03-03,elixir,mit,redis,2
2022-03-03,elixir,mit,trading,2
2022-03-03,elixir,other,elixir,2
2022-03-03,erlang,,erlang,2
2022-03-03,erlang,apache-2.0,erlang,3
2022-03-03,erlang,gpl-2.0,chat,2
2022-03-03,erlang,gpl-2.0,erlang,2
2022-03-03,erlang,gpl-2.0,jabber,2
2022-03-03,erlang,gpl-2.0,messaging,2
2022-03-03,erlang,gpl-2.0,xmpp,2
2022-03-03,erlang,other,erlang,5
2022-03-03,erlang,other,distributed-systems,2
2022-03-03,erlang,other,elixir,2
2022-03-03,go,,go,7
2022-03-03,go,,golang,7
2022-03-03,go,,aws,2
2022-03-03,go,,docker,2
2022-03-03,go,,k8s,2
2022-03-03,go,agpl-3.0,golang,10
2022-03-03,go,agpl-3.0,go,5
2022-03-03,go,agpl-3.0,hacktoberfest,3
2022-03-03,go,agpl-3.0,security,3
2022-03-03,go,agpl-3.0,blockchain,2
2022-03-03,go,agpl-3.0,google-cloud-storage,2
2022-03-03,go,agpl-3.0,pmm,2
2022-03-03,go,agpl-3.0,react,2
2022-03-03,go,agpl-3.0,s3,2
2022-03-03,go,agpl-3.0,self-hosted,2
2022-03-03,go,agpl-3.0,storage,2
2022-03-03,go,agpl-3.0,v2ray,2
2022-03-03,go,apache-2.0,kubernetes,128
2022-03-03,go,apache-2.0,golang,97
2022-03-03,go,apache-2.0,go,72
2022-03-03,go,apache-2.0,hacktoberfest,38
2022-03-03,go,apache-2.0,docker,35
2022-03-03,go,apache-2.0,cloud-native,27
2022-03-03,go,apache-2.0,containers,27
2022-03-03,go,apache-2.0,k8s,22
2022-03-03,go,apache-2.0,security,19
2022-03-03,go,apache-2.0,devops,17
2022-03-03,go,apache-2.0,monitoring,17
2022-03-03,go,apache-2.0,prometheus,17
2022-03-03,go,apache-2.0,observability,16
2022-03-03,go,apache-2.0,grpc,14
2022-03-03,go,apache-2.0,operator,14
2022-03-03,go,apache-2.0,metrics,13
2022-03-03,go,apache-2.0,cloud,12
2022-03-03,go,apache-2.0,blockchain,11
2022-03-03,go,apache-2.0,microservice,11
2022-03-03,go,apache-2.0,cli,10
2022-03-03,go,apache-2.0,database,10
2022-03-03,go,apache-2.0,gitops,10
2022-03-03,go,apache-2.0,terraform,10
2022-03-03,go,apache-2.0,aws,9
2022-03-03,go,apache-2.0,cncf,9
2022-03-03,go,apache-2.0,container,9
2022-03-03,go,apache-2.0,helm,9
2022-03-03,go,apache-2.0,openshift,9
2022-03-03,go,apache-2.0,serverless,9
2022-03-03,go,apache-2.0,microservices,8
2022-03-03,go,apache-2.0,oci,8
2022-03-03,go,apache-2.0,authorization,7
2022-03-03,go,apache-2.0,distributed-systems,7
2022-03-03,go,apache-2.0,kubernetes-operator,7
2022-03-03,go,apache-2.0,networking,7
2022-03-03,go,apache-2.0,postgresql,7
2022-03-03,go,apache-2.0,s3,7
2022-03-03,go,apache-2.0,cluster,6
2022-03-03,go,apache-2.0,continuous-delivery,6
2022-03-03,go,apache-2.0,dns,6
2022-03-03,go,apache-2.0,http,6
2022-03-03,go,apache-2.0,iot,6
2022-03-03,go,apache-2.0,orchestration,6
2022-03-03,go,apache-2.0,performance,6
2022-03-03,go,apache-2.0,sdk,6
2022-03-03,go,apache-2.0,service-mesh,6
2022-03-03,go,apache-2.0,storage,6
2022-03-03,go,apache-2.0,backup,5
2022-03-03,go,apache-2.0,cloudnative,5
2022-03-03,go,apache-2.0,cni,5
2022-03-03,go,apache-2.0,devsecops,5
2022-03-03,go,apache-2.0,dockerfile,5
2022-03-03,go,apache-2.0,gcp,5
2022-03-03,go,apache-2.0,grafana,5
2022-03-03,go,apache-2.0,istio,5
2022-03-03,go,apache-2.0,linux,5
2022-03-03,go,apache-2.0,mysql,5
2022-03-03,go,apache-2.0,oauth2,5
2022-03-03,go,apache-2.0,openapi,5
2022-03-03,go,apache-2.0,openid-connect,5
2022-03-03,go,apache-2.0,registry,5
2022-03-03,go,apache-2.0,security-tools,5
2022-03-03,go,apache-2.0,time-series,5
2022-03-03,go,apache-2.0,alerting,4
2022-03-03,go,apache-2.0,authentication,4
2022-03-03,go,apache-2.0,automation,4
2022-03-03,go,apache-2.0,azure,4
2022-03-03,go,apache-2.0,cluster-api,4
2022-03-03,go,apache-2.0,configuration-management,4
2022-03-03,go,apache-2.0,control-plane,4
2022-03-03,go,apache-2.0,controller,4
2022-03-03,go,apache-2.0,crd,4
